gene	Estimate	Std..Error	t.value	Pr...t..	FDR
ENSG00000233864.7	-1.6723613897628	0.0872186899177734	-19.1743465917619	3.04657811612964e-36	4.60520748034157e-32
ENSG00000229807.10	1.46569525674838	0.0915749287953759	16.0054206541997	4.79108035734385e-30	3.62109853408048e-26
ENSG00000099715.14	-1.53318584758411	0.0966817734124819	-15.8580650051065	9.59269773982802e-30	4.83344063450801e-26
ENSG00000067646.11	-1.6988366832995	0.11476286273835	-14.8030176553952	1.49365803691789e-27	5.64453372151271e-24
ENSG00000176728.7	-1.59716154264954	0.10888964837252	-14.6677077805001	2.88123337411797e-27	8.71054473663345e-24
ENSG00000183878.15	-1.83277224713963	0.125609707859755	-14.5910079592411	4.18527415220016e-27	9.32300125365848e-24
ENSG00000165246.13	-1.65177026826798	0.113254164435602	-14.5846316248017	4.3173464392438e-27	9.32300125365848e-24
ENSG00000278847.1	-1.51460213734205	0.104331577387854	-14.5171977196462	5.99843599179979e-27	1.13340448065057e-23
ENSG00000154620.5	-1.50914012304652	0.105039908201242	-14.3673023795414	1.2482855478991e-26	2.09656492689364e-23
ENSG00000067048.16	-1.75348233634116	0.127484311366788	-13.7544951025085	2.5631040275086e-25	3.874388047982e-22
ENSG00000012817.15	-1.86353827061133	0.139538246245634	-13.3550357751443	1.87765458633485e-24	2.58023879336706e-21
ENSG00000225470.7	1.1191006661493	0.0842301109368943	13.2862304667714	2.6502693305562e-24	3.33845593339063e-21
ENSG00000114374.12	-1.73769203598338	0.135426500149975	-12.8312555818766	2.61805501306918e-23	3.04419381365798e-20
ENSG00000129824.15	-1.59954444059393	0.124893268444196	-12.8072910615565	2.95530408217992e-23	3.1908840361594e-20
ENSG00000131002.11	-1.94382828023515	0.154776157158816	-12.5589646100374	1.04037519544726e-22	1.04842076362539e-19
ENSG00000198692.9	-1.65308624960516	0.142761675512708	-11.5793418903801	1.56266794011442e-20	1.47633053642309e-17
ENSG00000147050.14	0.621929320668692	0.0685542406048328	9.07207658026114	6.86716759527116e-15	6.10612384530111e-12
ENSG00000002586.18	-0.87202753896708	0.0970486061761747	-8.98547205700273	1.07398602746115e-14	9.01909599505711e-12
ENSG00000130021.13	0.911834309100396	0.103985144698077	8.76889013087327	3.27905007381333e-14	2.56810645436358e-11
ENSG00000005889.15	0.91738024148525	0.104700197300754	8.76197242350991	3.39786511559088e-14	2.56810645436358e-11
ENSG00000167393.17	-0.854602045438232	0.105417395930029	-8.10684079130044	9.68604543384654e-13	6.97210775133449e-10
ENSG00000006757.11	0.604473792122476	0.0967855097145731	6.24549887586592	8.92849929970976e-09	6.13469070065513e-06
ENSG00000261600.1	0.807921041127005	0.136116190074664	5.93552494147711	3.74462818770432e-08	2.46103476892776e-05
ENSG00000178605.13	-0.577664472468796	0.100441740046222	-5.75123919799639	8.64543699281772e-08	5.4451843993097e-05
ENSG00000205611.4	-1.03050025123031	0.179934006967667	-5.72710111110612	9.63797221940165e-08	5.82750352273901e-05
ENSG00000214717.11	-0.746612400055857	0.131384920089549	-5.68263389395816	1.17675931892922e-07	6.84149764035927e-05
ENSG00000130741.10	0.528173161284416	0.0967073006869509	5.46156450994484	3.13916906954882e-07	0.000175746961686296
ENSG00000182378.13	-0.892459553408756	0.164937695970773	-5.41088893085362	3.92016639686964e-07	0.000211632983053862
ENSG00000215301.9	0.440826024359693	0.0857653265691997	5.13990958810158	1.26271966780402e-06	0.00065818174132847
ENSG00000149531.15	-0.548440989408349	0.108397891380361	-5.05951714027262	1.77556072541613e-06	0.000894645864179672
ENSG00000188153.12	0.387716243950167	0.0814624346375378	4.75944827422955	6.17081987003889e-06	0.00300897139211315
ENSG00000258484.3	-0.793928588833399	0.171314451157988	-4.63433518577619	1.02400647715328e-05	0.0048371505964528
ENSG00000198034.10	0.531487412876991	0.117635406694753	4.51809049511874	1.62769205053322e-05	0.00745581607147275
ENSG00000101846.6	0.348298327578219	0.0782804828579221	4.44936355605235	2.13367364755559e-05	0.00948606201660301
ENSG00000173674.10	0.369444432329297	0.0844452025075656	4.37496058223317	2.85207463962221e-05	0.0123177029292941
ENSG00000263142.5	0.400081964131007	0.091999940214037	4.34871982742837	3.15719355922449e-05	0.0132567049558993
ENSG00000225683.5	-0.42811947746284	0.100722440554047	-4.25048752897436	4.60347315105986e-05	0.0188070540949786
ENSG00000153993.13	0.454002825726599	0.11297457100344	4.01862845500671	0.000109727549815613	0.0436484642898107
ENSG00000146938.14	0.342710866594854	0.0857470545831791	3.9967654662984	0.000118902506152308	0.0459292327939607
ENSG00000247516.6	-0.581327684916603	0.145667563473981	-3.99078333606121	0.0001215380597882	0.0459292327939607
ENSG00000169093.15	-0.397214514927671	0.100789974331357	-3.94101216477928	0.000145738091391037	0.0537311460845588
ENSG00000169249.12	0.582422600384087	0.148749442180495	3.91546073616442	0.000159885878367447	0.0575436889857697
ENSG00000163624.5	-0.315454858157263	0.0822280292946599	-3.83634219211125	0.000212481888643474	0.074620217954967
ENSG00000205664.10	0.516659527278711	0.134891701012742	3.83018023643952	0.000217206244378046	0.074620217954967
ENSG00000072501.17	0.37840546875191	0.100595874350205	3.7616400393774	0.000276963848689081	0.0930352341507587
ENSG00000145920.14	0.259422089663227	0.0707343852572121	3.66755275697793	0.000384825260867812	0.126456927027779
ENSG00000136068.14	0.352163489414799	0.0962061419715495	3.66050942484464	0.000394330145343664	0.126823286744996
ENSG00000282826.1	-0.526014120503064	0.144710843493704	-3.63493230917385	0.000430750412971207	0.135650484218183
ENSG00000115255.10	0.318296689183914	0.0883800635000987	3.60145350182463	0.000483250962935632	0.149077990933367
ENSG00000248469.1	-0.364198638691121	0.102070696653687	-3.56810182188529	0.000541530076310152	0.163715372670085
ENSG00000138166.5	0.472793894261271	0.133020776746964	3.55428607337509	0.000567566259348121	0.16822218777071
