gene	Estimate	Std..Error	t.value	Pr...t..	FDR
ENSG00000002586.18	-1.1731094613408	0.0619889656005203	-18.9244884146115	2.25603604959411e-38	3.56543937277853e-34
ENSG00000229807.10	1.42390391320391	0.0859390141451004	16.5687717897226	3.14557835817932e-33	2.4856360186333e-29
ENSG00000176728.7	-1.66985365096777	0.10159216237337	-16.4368354010494	6.23164048456281e-33	3.28282820726769e-29
ENSG00000154620.5	-1.67999840621802	0.105100742298066	-15.9846483429541	6.59145261277614e-32	2.60428292730785e-28
ENSG00000099725.14	-1.60595576602858	0.105088804743952	-15.281892014487	2.69976784674196e-30	8.53342620998197e-27
ENSG00000005889.15	1.0076852047624	0.0722920578701846	13.9390859030726	3.76526569511235e-27	9.91770984092594e-24
ENSG00000067646.11	-1.64886602632528	0.14354106044274	-11.4870687261157	3.028862928312e-21	6.83830710272041e-18
ENSG00000183878.15	-1.70991998405592	0.157004871533907	-10.8908721579805	8.58809923146416e-20	1.69657900317574e-16
ENSG00000278847.1	-1.58829276454341	0.150016367819329	-10.587463139064	4.71199982604096e-19	8.27427169452792e-16
ENSG00000130021.13	0.666112137739772	0.0660415033361706	10.0862655162325	7.80900027545291e-18	1.23413440353258e-14
ENSG00000167393.17	-1.17177424520092	0.116885903761838	-10.0249406257616	1.10033076445543e-17	1.58087521831397e-14
ENSG00000131002.11	-1.77824757347974	0.185402494582097	-9.59128180819774	1.23620412232885e-16	1.62808082910709e-13
ENSG00000198692.9	-1.8255725440901	0.192427382427406	-9.48707258323178	2.20660175180028e-16	2.68254877580397e-13
ENSG00000225470.7	0.923373916056392	0.0975976058358091	9.46103040283393	2.55005549316127e-16	2.8786483581372e-13
ENSG00000147050.14	0.543659828035336	0.0593009280350847	9.16781315317167	1.29456909567243e-15	1.36395799920047e-12
ENSG00000178605.13	-0.950983147040558	0.110112335487092	-8.63648148805307	2.40097157409793e-14	2.37155967231523e-11
