gene	Estimate	Std..Error	t.value	Pr...t..	FDR
ENSG00000202515.1	5.40136202428653e-18	0	Inf	0	0
ENSG00000005889.15	1.07443353136615	0.0560448761009047	19.1709502476499	1.31311537873498e-40	1.07596674133544e-36
ENSG00000215301.9	0.773193570686616	0.0496846284806398	15.5620278208964	4.39640126641665e-32	2.40160746513454e-28
ENSG00000260197.1	-1.47003855978397	0.0951855908374386	-15.4439190517245	8.5700787011072e-32	3.32207199361707e-28
ENSG00000278847.1	-1.39142364808729	0.090268539805877	-15.4142700333866	1.01356846278285e-31	3.32207199361707e-28
ENSG00000114374.12	-1.33359614151206	0.087987151446049	-15.1567145838308	4.36980001939746e-31	1.19353804529809e-27
ENSG00000154620.5	-1.36518815684866	0.0924410640597874	-14.7682003743024	4.00915632817899e-30	9.38600770088533e-27
ENSG00000002586.18	-1.12057707597298	0.080916657527036	-13.8485339140284	8.03158767386573e-28	1.64527073499139e-24
ENSG00000214717.11	-1.05811362544515	0.0776047575352945	-13.6346489448656	2.78142827393054e-27	5.06467183924153e-24
ENSG00000099725.14	-1.68762485878478	0.144410119579487	-11.6863337811715	2.55087088589435e-22	4.18036720780365e-19
ENSG00000129824.15	-1.3058370587669	0.113383425753838	-11.5170012732015	6.92083526170157e-22	1.03107862062514e-18
ENSG00000131002.11	-1.33572050803618	0.118132786853339	-11.3069414818298	2.38703303643176e-21	3.25989145008697e-18
ENSG00000169093.15	-0.93430145973112	0.085748854577252	-10.8957893879434	2.68879801644033e-20	3.38954014564802e-17
ENSG00000126012.11	0.651831113519213	0.061648985656123	10.5732658304407	1.79093685342161e-19	2.09641951099095e-16
ENSG00000012817.15	-1.37503358776271	0.139049447139715	-9.88881017542703	9.83322832432307e-18	1.07431297186004e-14
ENSG00000205611.4	-1.26764887643229	0.128788831265599	-9.84284789274965	1.2852092079945e-17	1.31637553128837e-14
ENSG00000165246.13	-1.35005683684194	0.139009083349511	-9.71200445547501	2.75122987035353e-17	2.6521855950208e-14
ENSG00000147050.14	0.619396444093771	0.0642824747661389	9.63554135628956	4.28906469988351e-17	3.90495512787172e-14
ENSG00000183878.15	-1.36807579013808	0.144761160927513	-9.4505721104511	1.25236810582981e-16	1.08020044833363e-13
ENSG00000167393.17	-0.889670016769783	0.096439484164269	-9.22516357775591	4.59718270144737e-16	3.76693150556597e-13
ENSG00000067646.11	-1.36512269785287	0.148657876205047	-9.1829826491664	5.85953083287189e-16	4.57266625186212e-13
ENSG00000169084.13	-1.10075442321181	0.122440115068032	-8.99014528531103	1.77099972185745e-15	1.31923379280909e-12
ENSG00000130021.13	0.881497966683725	0.10360076578448	8.5086047386706	2.73313647194026e-14	1.94741915226769e-11
ENSG00000067048.16	-1.36781303989329	0.162779158071886	-8.4028757495431	4.95687298204103e-14	3.38471810123701e-11
ENSG00000178605.13	-0.768077393363158	0.0935941645170092	-8.20646668867451	1.48914379358506e-13	9.7616353957088e-11
ENSG00000182378.13	-1.01650069291278	0.128339119232901	-7.92042752816547	7.28125397989909e-13	4.58943039317639e-10
ENSG00000149531.15	-0.835421711496784	0.113108313800502	-7.38603276298754	1.33809485391951e-11	8.12174017260479e-09
ENSG00000225470.7	0.753359592293594	0.10586947340654	7.1159283979876	5.65280744759264e-11	3.30850744468386e-08
ENSG00000258484.3	-1.21844735991124	0.172922958262796	-7.04618618691182	8.17055640324737e-11	4.61720959780751e-08
ENSG00000226179.6	-0.759640813980532	0.11120054020364	-6.83126909805844	2.51716534498697e-10	1.37504352245488e-07
ENSG00000124486.12	0.423329704631284	0.0666149514665144	6.35487522413164	2.87578441287714e-09	1.52026951478163e-06
ENSG00000101846.6	0.577132823406696	0.0923739940629857	6.24778466343216	4.9131721148906e-09	2.51615826933835e-06
ENSG00000189120.4	0.742971889134983	0.122533974198707	6.06339502161371	1.22201092191223e-08	6.06858029948412e-06
ENSG00000196459.13	0.470570782604559	0.078154326393419	6.02104585017808	1.50341231296229e-08	7.24644734847822e-06
ENSG00000197976.11	-0.527372609364424	0.0911055381929742	-5.78859002234722	4.62390270238781e-08	2.16504335676376e-05
ENSG00000086712.12	0.365284295639041	0.0650884367735672	5.61212273248795	1.06724717336175e-07	4.85834629918119e-05
ENSG00000169249.12	0.723391037724761	0.138902542248255	5.20790351289519	6.84736257604028e-07	0.000303282642962562
ENSG00000238151.1	-1.00633135570543	0.194672344501513	-5.16935961439353	8.13967891092658e-07	0.000351034363137539
ENSG00000130741.10	0.539664391755174	0.104965713654888	5.14133970955044	9.22521442436051e-07	0.000387648240990821
ENSG00000282826.1	-0.648875276517249	0.130592464119693	-4.96870382905503	1.97658221489177e-06	0.000809805733441156
ENSG00000169100.13	-0.485040080982643	0.0980545256840451	-4.94663634950983	2.17624955998885e-06	0.00086986287290481
ENSG00000173674.10	0.40158529289473	0.0832252251826041	4.82528334424585	3.67649401458503e-06	0.00143453295026237
ENSG00000282870.1	-0.664172753282042	0.138396427540068	-4.79905995470696	4.11310406914254e-06	0.00156757091825832
ENSG00000169239.12	0.375004465480596	0.0783216457434416	4.78800543478108	4.3118476809577e-06	0.00160596726808034
ENSG00000140522.11	-0.542372879223373	0.113956791787374	-4.75946076329841	4.86901695285125e-06	0.00175931178051372
ENSG00000186312.10	0.493514635041139	0.103804852771001	4.75425398588888	4.97790382207977e-06	0.00175931178051372
ENSG00000112812.15	0.553149354208082	0.116463060348165	4.74956911276801	5.0778883102259e-06	0.00175931178051372
ENSG00000123815.11	-0.330052519420002	0.0695417041434367	-4.74610916550501	5.15297568127034e-06	0.00175931178051372
ENSG00000224975.1	0.309090580025418	0.0674646513127398	4.58151897343388	1.02758907176773e-05	0.0034367611649244
ENSG00000178896.8	-0.340396007298434	0.0752954841130863	-4.52080242670587	1.32021912112752e-05	0.00432715019140757
ENSG00000100314.3	-0.557508680850841	0.125067360691518	-4.45766727440543	1.70917707153197e-05	0.00549215565652272
ENSG00000157557.11	-0.532970558069194	0.12322507188813	-4.32517952639582	2.91526235615951e-05	0.00918756144091192
ENSG00000046651.14	0.429403575134203	0.099937146650437	4.2967363940876	3.26472344855874e-05	0.0100947712971661
ENSG00000103227.18	-0.679713667764836	0.160876777246403	-4.22505770813502	4.33289775457402e-05	0.0131495422966591
ENSG00000213185.6	-0.513121548840361	0.123343044079358	-4.16011744051186	5.58386816675465e-05	0.0166378966394137
ENSG00000175556.16	-0.197757713295622	0.0481778086915276	-4.10474695023643	6.91725983665555e-05	0.0202428668219841
ENSG00000137501.17	0.303297294367049	0.0763213774060549	3.97394943166981	0.000113813038604728	0.0327222469588471
ENSG00000266074.8	-0.248698268344375	0.0627502869757627	-3.96330089200125	0.000118463332038008	0.0334720187144633
ENSG00000174749.5	0.389932287875287	0.0987851817711831	3.94727509616261	0.000125804766858504	0.0349438732080875
ENSG00000187953.10	0.337528461978692	0.0856148882443209	3.94240381433986	0.00012812089621603	0.0349940874531384
ENSG00000204179.10	-0.536878175901323	0.13635887329286	-3.93724414800833	0.000130618423978129	0.0350913890516979
ENSG00000088881.20	0.536633579585662	0.136773421713055	3.92352236907179	0.000137488088394507	0.0363412063324062
ENSG00000225762.1	-0.453307271452892	0.115930783966383	-3.91015445547524	0.000144510507961515	0.0375910826106873
ENSG00000079432.7	-0.248240495655641	0.0639562904514521	-3.8814085980186	0.000160785210728487	0.0411710630221632
ENSG00000002933.7	0.323868275811608	0.0838319264685539	3.8633047032874	0.000171914234932345	0.0433435458780196
ENSG00000067057.16	-0.302813551002986	0.0786312087944259	-3.85106061124743	0.000179852153331847	0.0446578346788228
ENSG00000187984.12	0.586279069492607	0.153033789415867	3.83104327306046	0.000193584640272244	0.0473502251459932
ENSG00000236031.1	-0.551243443939746	0.144228028525117	-3.82202717167246	0.000200090175162423	0.048221732214144
ENSG00000279878.1	-0.21803476708309	0.0571419964199225	-3.81566589799918	0.000204804487087005	0.0486425497736498
ENSG00000180104.15	-0.281013207179416	0.0737771133530116	-3.80894825519688	0.000209897315696924	0.0491399601377312
ENSG00000247516.6	-0.461391040784671	0.121548890787784	-3.79592966907636	0.000220111290871536	0.0503697411121746
ENSG00000273293.1	-0.425603353498831	0.11220221421617	-3.7931814133263	0.000222326969884227	0.0503697411121746
ENSG00000272049.1	-0.540074753317406	0.142474782601386	-3.7906690816186	0.000224370948327358	0.0503697411121746
ENSG00000169895.5	0.426416693274393	0.112826649562921	3.77939693260669	0.000233763204952009	0.0517690730101827
ENSG00000186675.6	-0.382000187429705	0.101790062703248	-3.75282397205474	0.000257402114783131	0.0562440780942127
ENSG00000164128.6	0.421088352466046	0.113202408709109	3.7197826200686	0.000289961596670614	0.0625248769241845
ENSG00000196632.10	0.284459263484216	0.0768520171596799	3.70138968367191	0.000309738643667243	0.0658049602861716
ENSG00000272668.1	-0.528972406829081	0.143207149333921	-3.69375697574747	0.00031831496065697	0.0658049602861716
ENSG00000260992.1	-0.459037505676967	0.124318036906111	-3.69244493478969	0.00031981165537079	0.0658049602861716
ENSG00000135519.6	-0.282269060907317	0.0764707559954586	-3.69120269876867	0.000321234856168766	0.0658049602861716
ENSG00000205664.10	0.543902728485423	0.147677165819981	3.68305232203901	0.000330722253856365	0.0669120530394827
ENSG00000168754.14	-0.386482975839644	0.105518728987147	-3.66269551907434	0.000355589506540166	0.0710658638192713
ENSG00000127081.13	0.384342642478345	0.105176922843111	3.65424878470402	0.000366418126023837	0.0723477138467306
ENSG00000130985.16	0.31574301225405	0.0869053432746042	3.63318295926135	0.000394798106456454	0.077023230578671
ENSG00000177508.11	-0.289655305959318	0.0800774914106767	-3.61718756240531	0.000417720733267488	0.0805365573739716
ENSG00000269313.5	-0.267265900261809	0.0741206003859079	-3.6058248161819	0.00043476163676911	0.0818475581545609
ENSG00000227113.2	0.442441087524013	0.122796477147595	3.60304381527348	0.000439031178574505	0.0818475581545609
ENSG00000229770.1	-0.679411671969708	0.188582054865176	-3.60273766480827	0.00043950360737133	0.0818475581545609
ENSG00000164197.11	0.341545381108931	0.0949909804522853	3.59555590944228	0.000450724553930874	0.0829940897732491
ENSG00000273442.1	-0.416135396042569	0.1160517857059	-3.58577331241713	0.000466444487617503	0.0849343584786183
ENSG00000197355.10	0.544082734974242	0.152248341322934	3.57365295573361	0.000486638571401177	0.0876377242650823
ENSG00000131773.13	-0.312680285011979	0.0877167193550289	-3.56466004783446	0.000502151574493775	0.089128616383422
ENSG00000255337.1	-0.570285900665856	0.16007637946677	-3.56258620144667	0.00050579456453858	0.089128616383422
ENSG00000279799.1	0.700667908108869	0.196941224586781	3.55775135235906	0.000514384583801	0.0896780272269233
ENSG00000141744.3	-0.399964797448722	0.11292861299632	-3.54174895835969	0.000543806596034476	0.0938094999559262
ENSG00000106100.10	-0.34216941181201	0.0970992577080704	-3.52391377533229	0.000578463359084567	0.0986759874438023
ENSG00000066583.11	0.325165240129737	0.0923468820526855	3.52112852001028	0.000584059725533855	0.0986759874438023
ENSG00000158220.13	0.425751636840364	0.122605931704941	3.47252070858173	0.000690316932053079	0.11543789676006
ENSG00000106565.17	0.321564117627427	0.0930102366899326	3.45729813267137	0.000727165155843311	0.120139801840463
ENSG00000226872.1	0.394850005985914	0.114286430822494	3.45491589110156	0.000733096179158304	0.120139801840463
ENSG00000179397.17	-0.297213375008629	0.0861385526993446	-3.45041059658866	0.00074443731826843	0.120790482888941
ENSG00000100226.15	-0.240765605045321	0.0698940428622225	-3.44472282880998	0.000758990390707554	0.121944456107014
ENSG00000169598.15	-0.302826505615277	0.0880631988459836	-3.43874069513305	0.000774584530675	0.123241662997106
ENSG00000104312.7	0.413958474055623	0.120727774561775	3.42885864962088	0.000801005232995441	0.126219939983935
ENSG00000239257.1	0.584786790791043	0.17160873784806	3.40767491285208	0.000860516875919309	0.133126707831317
ENSG00000243927.5	-0.279577440117644	0.0820481526031229	-3.40748001323071	0.000861083172450547	0.133126707831317
ENSG00000065621.14	-0.450879047426927	0.132592314762834	-3.40049156116934	0.000881621051419147	0.135028091501467
ENSG00000165912.15	-0.26769405182179	0.079091483590894	-3.38461285170039	0.000930004792149939	0.14111961605327
ENSG00000259840.1	-0.543761021326513	0.160853047882602	-3.38048317072224	0.000942989778240883	0.141777215466161
ENSG00000182132.13	-0.33237310267271	0.098729915009229	-3.36648828920434	0.000988267620595595	0.14649202172556
ENSG00000171840.11	-0.299482041636931	0.0889913662463626	-3.36529322190479	0.000992226898434048	0.14649202172556
ENSG00000188906.14	0.276043190195585	0.0821367203769403	3.36077687213189	0.00100732410589019	0.14739310220829
ENSG00000129534.13	-0.440240105844826	0.131547998815863	-3.34661195767077	0.00105608047100717	0.152190465494118
ENSG00000259038.1	-0.492134490181504	0.147087024927247	-3.34587289684407	0.0010586839801275	0.152190465494118
ENSG00000132688.10	-0.32415859547572	0.0972602693420878	-3.33289839385059	0.00110537867510968	0.157521267197369
ENSG00000162836.11	0.34378882557746	0.103510838687025	3.32128335484693	0.00114880719279932	0.162298726513753
ENSG00000198873.11	-0.272999991202514	0.0825302589025915	-3.30787755706339	0.00120091159793486	0.168209737324414
ENSG00000280399.1	0.473009974824363	0.144254645703596	3.27899300932236	0.00132076678298291	0.182290515901462
ENSG00000072501.17	0.226109954131341	0.068986333007967	3.27760505990699	0.00132679796880644	0.182290515901462
ENSG00000117407.16	-0.458260703018923	0.139894024201356	-3.27577039573418	0.00133480973323013	0.182290515901462
ENSG00000231439.4	-0.500864133762295	0.153985657476178	-3.25266743650966	0.00143963553108473	0.193350629332993
ENSG00000172716.16	0.455159423074219	0.139980269168553	3.25159699847521	0.00144467365446084	0.193350629332993
ENSG00000102871.15	-0.457987948092904	0.140909947087552	-3.25021730231961	0.00145119156748585	0.193350629332993
ENSG00000186350.9	-0.308410261870456	0.0950413263214282	-3.2450121837254	0.00147602888414953	0.193853826229859
ENSG00000134463.14	0.486520002835463	0.149953495799598	3.24447256291819	0.00147862632894389	0.193853826229859
ENSG00000147434.8	0.557488976756938	0.172062141322361	3.24004439600965	0.0015001025394092	0.194145584262654
ENSG00000261399.1	-0.353214555947026	0.10911869406627	-3.23697565270083	0.00151515571238786	0.194145584262654
ENSG00000174804.3	0.46718450245551	0.144338652094366	3.236724852814	0.00151639216412129	0.194145584262654
ENSG00000228623.5	0.342866749561146	0.106058863108414	3.23279676504418	0.00153588078260172	0.194585055900981
ENSG00000270175.1	-0.263630665843728	0.0815875919732693	-3.23125930631832	0.00154357195918523	0.194585055900981
ENSG00000252481.1	-0.372738982759981	0.115777695331567	-3.21943688456158	0.00160392293200898	0.200649534425673
ENSG00000234646.6	-0.448738034118973	0.139688247593993	-3.21242510982915	0.00164074652563938	0.203371361859569
ENSG00000249249.1	-0.58057438805593	0.180884638039665	-3.20963899614638	0.00165559544988418	0.203371361859569
ENSG00000242808.7	-0.172636558117373	0.0538097728161784	-3.20827517163329	0.0016629095978266	0.203371361859569
ENSG00000173114.12	0.346264233960153	0.108011145972591	3.20581946281749	0.00167615531927381	0.203472839794513
ENSG00000234177.5	-0.385176675280407	0.120350635997664	-3.200454007471	0.00170543789893553	0.205505266821731
ENSG00000106078.17	-0.266055891521133	0.0832449540635124	-3.19606028394398	0.00172977064134423	0.205676368789777
ENSG00000281404.1	-0.396828490881716	0.124177007499449	-3.19566801352881	0.00173195868275501	0.205676368789777
ENSG00000170549.3	-0.250674925298411	0.0788326311280968	-3.17983710186058	0.00182243919094754	0.213686291022964
ENSG00000105695.14	-0.175700687330123	0.0552636638832129	-3.17931666096961	0.0018254869870158	0.213686291022964
ENSG00000239911.2	-0.264445944273486	0.0832941365433516	-3.17484465591226	0.00185187168216152	0.214363661901566
ENSG00000248399.1	-0.476880343065407	0.150250147151847	-3.17390932458428	0.00185743470771433	0.214363661901566
ENSG00000277087.1	-0.369005065542977	0.116346744660984	-3.17159768086507	0.00187125021062668	0.214447891270979
ENSG00000172031.6	0.343327078611443	0.10842053484034	3.16662410047161	0.00190129887627923	0.216155515846143
ENSG00000172005.10	-0.206032038112155	0.0651014577046353	-3.1647837909701	0.0019125304977844	0.216155515846143
ENSG00000177425.10	0.423635005478575	0.134121677749864	3.15858713211635	0.00195080391045414	0.216918177792449
ENSG00000159314.11	-0.310453304776965	0.098309387528031	-3.15792125841945	0.00195495868084157	0.216918177792449
ENSG00000188636.3	-0.183617478515446	0.0581569151402316	-3.15727679284047	0.00195898769302431	0.216918177792449
ENSG00000134644.15	-0.161214156856831	0.0514830500616983	-3.13140260073226	0.00212725646974912	0.233969657894285
ENSG00000241131.1	-0.369031535770579	0.117967917171026	-3.12823642749893	0.00214874310439262	0.234627836688445
ENSG00000103254.9	-0.272132410326745	0.0870457194694182	-3.12631582558581	0.00216187474615299	0.234627836688445
ENSG00000153250.19	0.231054279364989	0.0741581268150832	3.11569735224211	0.00223582809949774	0.240672620277527
ENSG00000169504.14	-0.209553869623358	0.0672913137057537	-3.11412956714858	0.00224694355030886	0.240672620277527
ENSG00000260778.5	-0.297785637392058	0.0957513030108619	-3.1099904442896	0.00227653597945607	0.242211754300456
ENSG00000114115.9	-0.330007483370685	0.106238764313348	-3.10628126657552	0.00230336077361628	0.242211754300456
ENSG00000181019.12	-0.268095400082761	0.0863162635931471	-3.10596623304308	0.00230565253056329	0.242211754300456
ENSG00000101439.8	-0.312578356288372	0.100732401273722	-3.1030567358262	0.00232691810271084	0.242888750746657
ENSG00000105641.3	-0.353579442896162	0.114090809945928	-3.09910537986133	0.00235608947646171	0.244377179368699
ENSG00000106327.12	0.367121278074944	0.118844718111506	3.08908367076517	0.00243160077812185	0.246745925273167
ENSG00000260613.1	-0.336836580993566	0.109063813552137	-3.08843575172204	0.0024365589469194	0.246745925273167
ENSG00000164488.11	-0.281926184948567	0.0913553482739941	-3.08603918955035	0.00245497991967498	0.246745925273167
ENSG00000117791.15	0.39576379922861	0.128362444821925	3.08317436441512	0.00247716918332949	0.246745925273167
ENSG00000159640.15	0.404073648250854	0.131097417400303	3.08223957621548	0.00248444955359148	0.246745925273167
ENSG00000083168.9	-0.167852252938256	0.0544645667951223	-3.08186152603876	0.0024873995217116	0.246745925273167
ENSG00000251322.7	-0.22586924752298	0.0733313437424847	-3.08011875953286	0.00250104046210199	0.246745925273167
ENSG00000280160.1	-0.38700388805225	0.12570839003035	-3.07858439646562	0.00251310742728593	0.246745925273167
ENSG00000010626.14	-0.3687062821526	0.119771430980725	-3.07841593887224	0.00251443553335482	0.246745925273167
ENSG00000165458.13	0.194472553070738	0.0632693506029939	3.07372450036709	0.00255168421644817	0.248470098495328
ENSG00000100884.9	-0.323043697284347	0.105143919003184	-3.0723954399547	0.00256232893859595	0.248470098495328
ENSG00000277702.1	-0.54743752223086	0.178443542752834	-3.06784719573253	0.00259906818630078	0.250550173159396
ENSG00000106066.14	-0.263357119179429	0.0861109081250335	-3.05834794817205	0.00267737552639763	0.256091793457567
ENSG00000160678.11	-0.495201705358574	0.161984035702312	-3.05710191261463	0.00268780744902987	0.256091793457567
ENSG00000131653.12	-0.172619440901779	0.0565233572461906	-3.05394883304482	0.00271437327884385	0.256604847889568
ENSG00000253982.1	-0.357195776779652	0.117007739800465	-3.05275341091781	0.00272450839228611	0.256604847889568
ENSG00000275318.1	0.397588834980311	0.130391781041688	3.0491863199046	0.00275495928911711	0.256787213665158
ENSG00000273729.1	-0.190947894340088	0.0626957086841714	-3.04562941144799	0.00278563594420334	0.256787213665158
ENSG00000230023.2	-0.331982251590981	0.109011345930756	-3.04539173199326	0.0027876970172929	0.256787213665158
ENSG00000124074.11	-0.258913194968003	0.0850890626090703	-3.04284930435235	0.00280983231707277	0.256787213665158
ENSG00000273151.1	-0.155648007078398	0.0511614262749822	-3.04229218008548	0.00281470446763813	0.256787213665158
ENSG00000269951.1	0.413387242116155	0.135909540931244	3.04163518825573	0.00282045999876303	0.256787213665158
ENSG00000201183.1	0.393220904492516	0.129723249387606	3.03122922335682	0.00291308154368131	0.261015955695307
ENSG00000184995.7	0.362937368831137	0.119845479100995	3.02837763721806	0.00293894847382343	0.261015955695307
ENSG00000141505.11	-0.225523594546094	0.0744945587721134	-3.0273834527431	0.00294801649158929	0.261015955695307
ENSG00000280119.1	-0.50213559118096	0.166014142623244	-3.02465550974484	0.00297303096924018	0.261015955695307
ENSG00000160888.6	-0.356594255644743	0.117974671981318	-3.02263400826588	0.00299169370922288	0.261015955695307
ENSG00000196363.9	-0.242378233286992	0.0801902304245193	-3.02254067613805	0.00299255796631727	0.261015955695307
ENSG00000233232.6	-0.413323536930244	0.136807199939301	-3.02121187418227	0.00300488769818347	0.261015955695307
ENSG00000156265.15	-0.460409252927692	0.152415759282116	-3.02074572272734	0.00300922412837754	0.261015955695307
ENSG00000172460.15	0.519488967337254	0.172014072261441	3.02003760801438	0.00301582249414817	0.261015955695307
ENSG00000213578.5	-0.374654231717175	0.124101703853506	-3.01892899197766	0.00302617961814183	0.261015955695307
ENSG00000075891.21	-0.225025377214351	0.0746061649271513	-3.01617671185854	0.00305203444728297	0.261867751424468
ENSG00000133519.12	-0.360227533781542	0.119657917706589	-3.01047804178617	0.00310621618456438	0.264825647125044
ENSG00000273706.4	-0.196972530817818	0.0654575430489104	-3.00916474470541	0.00311882779443089	0.264825647125044
ENSG00000264245.1	-0.465060956811368	0.154713980237174	-3.00594009732305	0.00314999459551088	0.26609335789295
ENSG00000243477.5	-0.239343190080781	0.0798042925742108	-2.99912676825265	0.00321679268173618	0.270342556247654
ENSG00000183060.15	-0.310229487753159	0.103529060192762	-2.99654500075187	0.00324244353950638	0.271107983293013
ENSG00000261221.3	-0.215266677951572	0.0718808310313501	-2.99477169174192	0.00326017105185868	0.271206513694721
ENSG00000279044.1	-0.177812914026459	0.0594529668859875	-2.99081649478401	0.00330003262791535	0.273136033870085
ENSG00000139197.10	-0.193187258354825	0.0646561036545497	-2.98791989364225	0.00332950954571124	0.273849100204231
ENSG00000163431.12	-0.24768186291468	0.0829538559417923	-2.98577878150083	0.00335145393294265	0.273849100204231
ENSG00000260274.1	-0.200741561882325	0.0672743705529534	-2.98392330143492	0.00337057846819804	0.273849100204231
ENSG00000140943.16	-0.189002495356727	0.0633503480229127	-2.98344841433812	0.00337548927515589	0.273849100204231
ENSG00000207128.1	-0.324645595546705	0.109094185056474	-2.97582859598472	0.00345519180368227	0.276726522712004
