gene	Estimate	Std..Error	t.value	Pr...t..	FDR
ENSG00000215301.9	1.01138100506937	0.0505383664444349	20.0121427783256	1.14327046962235e-46	1.20029745226339e-42
ENSG00000267793.1	-1.56733183491895	0.0784482168142088	-19.9791900768236	1.39342634346806e-46	1.20029745226339e-42
ENSG00000005889.15	1.20639074344318	0.0613143253218446	19.6755119967596	8.68400235335185e-46	4.98693308478486e-42
ENSG00000147050.14	1.01097601702729	0.0532076395782522	19.0005800866331	5.272398462396e-44	2.27082201775396e-40
ENSG00000067646.11	-1.72617613760207	0.0926650232078056	-18.6281304190799	5.20033121580627e-43	1.79182612371821e-39
ENSG00000278847.1	-1.5109711181588	0.082439722712019	-18.3281926291404	3.32309133398684e-42	9.54170291698755e-39
ENSG00000154620.5	-1.47903762521726	0.0848750780339138	-17.42605320052	9.33853995343399e-40	2.29834809025373e-36
ENSG00000183878.15	-1.57946599150731	0.0912444564613714	-17.3102679632486	1.93765671946879e-39	4.17274374537603e-36
ENSG00000233864.7	-1.53366902861575	0.0902141633731285	-17.0003131578403	1.37649441451306e-38	2.63491619702566e-35
ENSG00000260197.1	-1.67946797021624	0.0993767203396598	-16.9000140523453	2.6013457994356e-38	4.48159854326765e-35
ENSG00000176728.7	-1.59708686349052	0.098474692343279	-16.2182467950561	2.01857429381861e-36	3.16145435762792e-33
ENSG00000198692.9	-1.65764995233775	0.10232874678157	-16.1992597825532	2.28001157421037e-36	3.27333661670803e-33
ENSG00000214717.11	-1.10391947158382	0.069449027494845	-15.8953913597388	1.60780760546556e-35	2.13071610976621e-32
ENSG00000002586.18	-1.2007630073219	0.0774358159887294	-15.5065584573509	1.97897306298074e-34	2.43526770921659e-31
ENSG00000165246.13	-1.69160615361415	0.110491759635952	-15.3097946777901	7.07948571532947e-34	8.13102532691307e-31
ENSG00000129824.15	-1.672992512793	0.122352599380891	-13.673534696103	3.09971668766988e-29	3.33761994344854e-26
ENSG00000131002.11	-1.65516006304475	0.121557667000966	-13.6162539466277	4.51524634675787e-29	4.57580376834969e-26
ENSG00000099725.14	-1.8067646063448	0.135533597944309	-13.3307507049817	2.94698110760532e-28	2.82058836232358e-25
ENSG00000198034.10	0.91838048357462	0.0702078975270384	13.0808714677851	1.5235614799687e-27	1.38146932510004e-24
ENSG00000130021.13	1.09563199359246	0.0862150702317859	12.7081262086419	1.76756493237586e-26	1.52258043274856e-23
ENSG00000126012.11	1.03407448016863	0.0818188068293131	12.6385915444339	2.79207431573357e-26	2.2905645862599e-23
ENSG00000169093.15	-1.04242400697046	0.0854486711503832	-12.1994174155836	5.00208934814774e-25	3.91709069499497e-22
ENSG00000114374.12	-1.51596938260148	0.126212074821389	-12.0112864379008	1.71915850380388e-24	1.28772446537101e-21
ENSG00000012817.15	-1.60235018363763	0.142161790728841	-11.2713140107664	2.17287273446632e-22	1.55976047789107e-19
ENSG00000101846.6	0.84275484736372	0.075283077250901	11.1944792659712	3.58409911467138e-22	2.46987438190234e-19
ENSG00000169084.13	-1.18481024480908	0.108438820093989	-10.9260709751559	2.05087587351254e-21	1.35894190572592e-18
ENSG00000067048.16	-1.51842114332406	0.166567345742121	-9.11595929297491	2.06847215486964e-16	1.31983845496645e-13
ENSG00000167393.17	-0.948561537130443	0.110309324069857	-8.59910569780784	4.95591901245354e-15	3.04930616951963e-12
ENSG00000173674.10	0.543704247718354	0.0638971499030748	8.50905319788279	8.56048993679796e-15	5.08552140107432e-12
ENSG00000130741.10	0.692251303503871	0.083716737173948	8.26897137743793	3.63597034356723e-14	2.0880165692992e-11
ENSG00000124486.12	0.470595030931588	0.0570752054978021	8.24517453467092	4.19267707305311e-14	2.33004647143738e-11
ENSG00000196459.13	0.649103629622343	0.0792113819923716	8.19457524027109	5.6729356101769e-14	3.05416670912899e-11
ENSG00000182378.13	-0.907889095872995	0.112971311465229	-8.03645708010067	1.45212616002921e-13	7.5809786318131e-11
ENSG00000205611.4	-1.24791757317448	0.155712912934466	-8.01422020599981	1.65631501964008e-13	8.39264563481157e-11
ENSG00000178605.13	-0.824171642012703	0.104587018947688	-7.8802479533807	3.64711203645929e-13	1.7952127475463e-10
ENSG00000226179.6	-0.854670972451803	0.112799698814853	-7.5768905540665	2.13124400943927e-12	1.01991866096166e-09
ENSG00000169249.12	0.927542075586123	0.123010697664975	7.54033667959774	2.63077365203235e-12	1.22494509397874e-09
ENSG00000130985.16	0.54398288928616	0.0734620463620773	7.40495148481156	5.71432866181759e-12	2.59069616278404e-09
ENSG00000169100.13	-0.515228622512815	0.0697233486238652	-7.38961384789916	6.2365729314704e-12	2.75496611444544e-09
ENSG00000205664.10	0.960744117599205	0.132629556102366	7.24381612841773	1.4258266337644e-11	6.14103531162328e-09
ENSG00000086712.12	0.486507911334297	0.0687315404227479	7.07837927597617	3.60773891031436e-11	1.5159542913877e-08
ENSG00000103227.18	-0.784411840066076	0.116578025601146	-6.72864234937227	2.47488708797538e-10	1.01517511313428e-07
ENSG00000225470.7	0.847056614472892	0.128413554571089	6.59631778983242	5.05852398390002e-10	2.02670351615417e-07
ENSG00000258484.3	-1.31937661625445	0.20674066542583	-6.38179534508556	1.58497959951811e-09	6.20591557738592e-07
ENSG00000169895.5	0.49394290053043	0.0783747941487681	6.30231831413613	2.40663058493384e-09	9.21365149272003e-07
ENSG00000149531.15	-0.965485671274728	0.156890571985091	-6.15387947828042	5.20756590506147e-09	1.95034663939998e-06
ENSG00000105641.3	-0.637946326756422	0.114099476225564	-5.59114158854911	8.77343888749934e-08	3.21593202454976e-05
ENSG00000249307.5	-0.586243764422285	0.106228948519637	-5.51868179617643	1.24662883648056e-07	4.47435866560148e-05
ENSG00000219607.3	-0.584128937835325	0.107821830841138	-5.41753866798987	2.02561035541519e-07	7.12188065369241e-05
ENSG00000111321.10	-0.458876140428732	0.0877451590102671	-5.22964623467191	4.91382619130664e-07	0.000169310795247662
ENSG00000169239.12	0.471685308903939	0.0912120543988468	5.17130451685015	6.44309293643092e-07	0.000213724201956707
ENSG00000188707.5	-0.636182596030312	0.123027933868983	-5.17104186036163	6.45092785102668e-07	0.000213724201956707
ENSG00000175701.10	-0.539453267368737	0.104648840954396	-5.15489003460461	6.95094311901615e-07	0.000225944996329076
ENSG00000189120.4	1.01166106746742	0.198027597490378	5.10868727535096	8.5982853985613e-07	0.000274317149715582
ENSG00000282826.1	-0.729275833419836	0.151150404414104	-4.82483547593993	3.08651276054272e-06	0.000966808033429638
ENSG00000224975.1	0.433290871381026	0.0918650093110135	4.71660401093629	4.95850628800694e-06	0.00152544904160328
ENSG00000177425.10	0.548196807513276	0.117797871169802	4.65370725352981	6.50879937471638e-06	0.00196725606364235
ENSG00000197976.11	-0.439578170355112	0.0952922853170816	-4.61294604166992	7.75312322360755e-06	0.00230294494648812
ENSG00000174749.5	0.484512967058203	0.106687250928945	4.54143267203404	1.05107887937804e-05	0.00306915032778389
ENSG00000178445.9	0.603668137464161	0.137657972214699	4.38527553291754	2.0189176741537e-05	0.00579698561505331
ENSG00000238151.1	-0.834368181812763	0.191565946921324	-4.35551409434704	2.28214596474315e-05	0.00644537880009754
ENSG00000171004.18	0.381684242690957	0.0880159294809445	4.33653595368316	2.46687998665051e-05	0.00685474329193791
ENSG00000187984.12	0.636464407288311	0.149642267999563	4.25323951445436	3.46148927846617e-05	0.00936742879888248
ENSG00000088881.20	0.581076134955324	0.136661848052612	4.25192651230372	3.47988996475783e-05	0.00936742879888248
ENSG00000087008.15	-0.427430044985849	0.100746252060626	-4.2426396639414	3.61273889051412e-05	0.00957542547781189
ENSG00000140522.11	-0.513944244026016	0.122021524416359	-4.21191463132641	4.0877595374163e-05	0.0106702911076679
ENSG00000108830.9	-0.431577561550953	0.103709779640431	-4.16139695838968	5.00126676580332e-05	0.0128599737076507
ENSG00000182600.9	-0.602206669572502	0.145165457129728	-4.14841575592143	5.26580618525583e-05	0.0133410748469982
ENSG00000204179.10	-0.683864446153648	0.168201774190551	-4.06573860141878	7.29186516365244e-05	0.0182064134839716
ENSG00000275371.1	-0.477563249827329	0.119235305431686	-4.00521681139939	9.22591842534672e-05	0.0227063032331248
