gene	Estimate	Std..Error	t.value	Pr...t..	FDR
ENSG00000176728.7	-1.67784068735927	0.0827730538794514	-20.2703731313675	1.57440258650872e-46	1.82501478455715e-42
ENSG00000260197.1	-1.76573902412538	0.0874238941061227	-20.197441925682	2.40354903800494e-46	1.82501478455715e-42
ENSG00000114374.12	-1.69096457112622	0.0841063858142924	-20.1050675849975	4.1113523771911e-46	2.08116657333414e-42
ENSG00000229807.10	1.50278007608034	0.0783269373469567	19.1859930565602	9.08455810541352e-44	3.44895248472024e-40
ENSG00000012817.15	-1.56245479592086	0.0866165591009642	-18.0387539304071	8.83417241157365e-41	2.68311484484315e-37
ENSG00000278847.1	-1.60524179602495	0.0926152300247787	-17.3323739043296	6.57974492725026e-39	1.66533344108704e-35
ENSG00000002586.18	-1.20635769804611	0.0726238566205753	-16.6110387713056	5.67054130796285e-37	1.23018343289605e-33
ENSG00000005889.15	0.835639301766005	0.0534085083495173	15.6461831193149	2.37961451467737e-34	4.51710325248631e-31
ENSG00000131002.11	-1.76042193317247	0.121544218712664	-14.4837981750016	3.80101390452774e-31	6.41357746157315e-28
ENSG00000183878.15	-1.76513220727728	0.124895834410546	-14.1328348988414	3.58523788432775e-30	5.44454225114012e-27
ENSG00000198692.9	-1.72275353840984	0.132012916879858	-13.049886171197	3.76613330753682e-27	5.1993182189322e-24
ENSG00000233864.7	-1.65686528636448	0.133133080059443	-12.4451810596187	1.85104944691443e-25	2.34250307507022e-22
ENSG00000067646.11	-1.74295711971203	0.142391079660865	-12.2406342016878	6.91000710824918e-25	8.0719513804517e-22
ENSG00000126012.11	0.566647550478252	0.0530867456691156	10.6739929776466	1.57678820793643e-20	1.71036469469448e-17
ENSG00000225470.7	0.941060305931997	0.0893034654466296	10.5377803786842	3.74229244712503e-20	3.78869687346938e-17
ENSG00000147050.14	0.639399083329222	0.0607371009527497	10.5273230578891	3.99871926014378e-20	3.79528441778397e-17
ENSG00000154620.5	-1.46087924081381	0.139396672957642	-10.480015123874	5.39597463388862e-20	4.82019239942544e-17
ENSG00000215301.9	0.555610061515523	0.0559798664393643	9.92517661894285	1.77742334410912e-18	1.49955282798006e-15
ENSG00000006757.11	0.726794684360548	0.0787870536428712	9.22479837429877	1.3714200306851e-16	1.09612550452547e-13
ENSG00000130021.13	0.72019267474673	0.0816949309375415	8.81563478274242	1.66393274117931e-15	1.26342413037745e-12
ENSG00000261600.1	0.974069158875483	0.110645526355915	8.80351145641604	1.79065240275678e-15	1.29489749467926e-12
ENSG00000214717.11	-0.574377993665632	0.0675250443859742	-8.50614759143997	1.0717991972363e-14	7.39833754965021e-12
ENSG00000178605.13	-0.619706045991524	0.0760316353950532	-8.15063417709733	8.83602655477862e-14	5.83408257655948e-11
ENSG00000205611.4	-1.02756110451504	0.131388992632782	-7.82075487394111	6.05829426431439e-13	3.83338569574493e-10
ENSG00000182378.13	-0.72781857789141	0.0945303972969869	-7.69930729905659	1.22034608294227e-12	7.41287024622454e-10
ENSG00000167393.17	-0.620843083042056	0.0848899228575149	-7.31350744756975	1.092352097136e-11	6.38017651811822e-09
ENSG00000226179.6	-0.647554174629655	0.0984254888625299	-6.57913089498686	6.07015023937611e-10	3.41412227908021e-07
ENSG00000188153.12	0.268157387660911	0.0431421441695696	6.21567130754842	4.07315409236165e-09	2.20910421595014e-06
ENSG00000101846.6	0.479196894671327	0.0796498245438264	6.01629567190891	1.12718570285744e-08	5.90256623572177e-06
ENSG00000169895.5	0.418604429459245	0.0732261743530787	5.71659564571593	5.01515379385606e-08	2.53867085044994e-05
ENSG00000169093.15	-0.328367229352713	0.0602891361343387	-5.44654062750264	1.84869853656312e-07	9.05623741169274e-05
ENSG00000238151.1	-0.611861549529968	0.11887408427163	-5.14713996140531	7.48884259009919e-07	0.000355392386166395
ENSG00000205664.10	0.464190357971532	0.0915672931799134	5.06939041060743	1.0678239067776e-06	0.000491393146918928
ENSG00000282826.1	-0.427479762271587	0.0845167249334686	-5.05793099067786	1.12480850741221e-06	0.000502392411575346
ENSG00000149531.15	-0.526205407831005	0.105017202490639	-5.010659162035	1.3927088899424e-06	0.000604276491504724
ENSG00000259222.2	-0.662021688842142	0.136846124739147	-4.83770870460579	3.00824954206447e-06	0.00126897993182753
ENSG00000129534.13	-0.31505110817992	0.0676117929754481	-4.65970645526772	6.51856139161083e-06	0.00267542900791897
ENSG00000258484.3	-0.715257089144239	0.154120449988254	-4.64089670902693	7.06534579968128e-06	0.00282353529773579
ENSG00000169249.12	0.451396084894038	0.100738850251171	4.48085404755543	1.38925899550398e-05	0.00540956079633936
ENSG00000146938.14	0.231075180505808	0.053161070251214	4.34669918069475	2.41736850987182e-05	0.00917753954772838
ENSG00000231768.1	-0.487968955413184	0.113497189568678	-4.29939241022273	2.9304518615275e-05	0.0108541077973553
ENSG00000095932.6	0.527862200592886	0.129345149006753	4.08103593096736	6.98652488530239e-05	0.0252612778352862
ENSG00000170561.12	-0.357081880242765	0.0891346093967437	-4.00609687594379	9.34292960716617e-05	0.0329957509335873
ENSG00000186493.11	-0.270985393913935	0.0693499382506403	-3.90750735688554	0.000136127905747789	0.0469826903792257
ENSG00000181004.9	-0.194610566357009	0.0515293884957089	-3.77669077856834	0.000221941508400113	0.0748978610347582
ENSG00000234969.1	0.344193172404686	0.0917089778337892	3.75310226473674	0.000242077069821354	0.0799170083110236
ENSG00000164440.14	-0.254147874832669	0.0683385044908341	-3.71895575892734	0.000274310080979339	0.0877066040111561
ENSG00000233593.8	0.400889304594266	0.107880226420281	3.71605916947629	0.000277223560683228	0.0877066040111561
ENSG00000166900.15	-0.300958416287233	0.0812642581596614	-3.70345368434834	0.000290246719657871	0.089952789484172
ENSG00000130985.16	0.303577144551114	0.0836822195726085	3.62773772136516	0.000381477767280493	0.115862427478431
ENSG00000137843.11	0.153899011977425	0.0429910983321032	3.57978786186307	0.000452588453153198	0.134764867638911
ENSG00000247516.6	-0.292770670725693	0.0820269349956884	-3.56920163774352	0.000469887803904024	0.137225311347817
ENSG00000255471.1	-0.375606251752292	0.105842354634111	-3.54873295336951	0.000505116150292701	0.142384980125443
ENSG00000101180.15	0.201806198586871	0.0568778290039307	3.54806437096824	0.000506307712812718	0.142384980125443
ENSG00000087086.14	-0.348710333406292	0.0987215256238887	-3.53226240379242	0.000535252140581896	0.147787981943212
ENSG00000282375.1	0.197308180159651	0.0560280711334302	3.52159508917885	0.00055566349816271	0.150684033626766
ENSG00000169084.13	-0.385665082623397	0.110275607217434	-3.49728369087978	0.000604948116255547	0.161170913920294
ENSG00000122952.16	-0.270369350708138	0.077642822747924	-3.48221949098788	0.000637516365929092	0.164729189483684
ENSG00000048540.14	-0.1676595285888	0.0481627866206454	-3.48110108140901	0.000639998826520304	0.164729189483684
ENSG00000263004.1	-0.283539302005835	0.0817927192106257	-3.46655918451236	0.000673113544649433	0.170365038150771
ENSG00000265778.2	0.284378467210939	0.0823858161575337	3.4517891607357	0.000708388411773537	0.176353875757261
ENSG00000227719.1	-0.262753913413084	0.0762257304756169	-3.44705012039384	0.000720068992981395	0.176370447216378
ENSG00000186675.6	-0.201571008122445	0.0586350437685388	-3.43772248074281	0.000743588698625076	0.176828436782985
ENSG00000276846.1	-0.358840591522738	0.10440265447384	-3.43708302562988	0.000745227179909853	0.176828436782985
ENSG00000159713.10	-0.275426273484869	0.0803296133292284	-3.42870159670809	0.000767018179992349	0.179199047405597
ENSG00000072501.17	0.202763585655592	0.0593635783792778	3.41562269646419	0.000802218227672109	0.184583121294374
ENSG00000103811.15	-0.398283076353188	0.117140134681369	-3.40005650016156	0.000846083327295385	0.191770468780712
ENSG00000129596.4	-0.174155290950777	0.0516179826457108	-3.37392672135452	0.000924798700332481	0.204157198151077
ENSG00000162623.15	-0.195079123031841	0.0578349949536904	-3.37302913552676	0.000927620615858311	0.204157198151077
ENSG00000181315.10	-0.188078854311157	0.0560811041610536	-3.35369385329918	0.000990398490958894	0.214859878338597
ENSG00000267498.1	-0.445183218763709	0.13296499247523	-3.34812352090826	0.00100920777256964	0.215856068405912
ENSG00000162975.4	0.151739428053735	0.0453769092530832	3.34397892124892	0.00102341873602171	0.215856068405912
ENSG00000106078.17	-0.182781600796445	0.0553381888933484	-3.30299210096512	0.00117437394325532	0.241576770321837
ENSG00000075618.17	0.178300446393859	0.0540317840271643	3.29991780956593	0.00118649564840244	0.241576770321837
ENSG00000134548.9	-0.288458607456109	0.0874630230962177	-3.2980635386771	0.00119386319880205	0.241576770321837
ENSG00000134201.10	-0.450999004288103	0.137085071037317	-3.2899206374218	0.00122672501636558	0.241576770321837
ENSG00000237641.1	-0.243594526604532	0.0740434004947064	-3.2898884299884	0.00122685665185897	0.241576770321837
ENSG00000139352.3	-0.34558542822578	0.105153290205631	-3.2864918211306	0.00124081312294898	0.241576770321837
ENSG00000105048.16	-0.339436918406314	0.103555969884822	-3.27781120474123	0.00127715635843729	0.245505018471249
ENSG00000185291.11	-0.279975197457515	0.0855690444250254	-3.27192151482802	0.00130237682906187	0.24722368157667
ENSG00000021300.13	-0.247727224259839	0.0758970110834173	-3.26399183213639	0.00133706590808088	0.249638855360969
ENSG00000261399.1	-0.357186614061077	0.109662329672304	-3.25714960760391	0.00136768720502567	0.249638855360969
ENSG00000112851.14	-0.199282641164141	0.0612125868495529	-3.25558273911759	0.00137479073368081	0.249638855360969
ENSG00000118418.14	-0.25243644201821	0.0775999994308064	-3.25304695708535	0.00138635970736838	0.249638855360969
ENSG00000165983.14	-0.247239414323493	0.076058024115851	-3.25066838374475	0.00139729373802728	0.249638855360969
ENSG00000108349.16	-0.215727104825883	0.0667691646990826	-3.23093909888088	0.00149112926641115	0.263305686508369
ENSG00000165169.10	-0.163202314028914	0.0505986912829285	-3.22542559680743	0.00151838110979933	0.265036040613939
ENSG00000238194.1	-0.32423843497865	0.100653758769465	-3.22132465734615	0.00153895048154765	0.265524914039919
ENSG00000128218.7	0.483098658404754	0.150300977207606	3.21420836630665	0.0015752599200112	0.265524914039919
ENSG00000171729.13	-0.376601651449795	0.117242861041771	-3.21214996037685	0.00158590999476681	0.265524914039919
ENSG00000157570.11	-0.355420468907581	0.110683323374759	-3.21114742556271	0.00159112124177747	0.265524914039919
ENSG00000090857.13	0.328384908407692	0.102674075650358	3.19832349429628	0.0016591992433445	0.273876083798148
ENSG00000189134.3	-0.436686235252317	0.138137070360823	-3.16125305185397	0.001871501639286	0.305598106389217
ENSG00000255823.4	-0.366561181117609	0.116954780361775	-3.13421289821357	0.00204195354446135	0.325577711495743
ENSG00000259065.1	-0.352180789767213	0.112448809736454	-3.13192101003665	0.00205704262651213	0.325577711495743
ENSG00000184545.10	0.18016593974981	0.0575691066765164	3.12955941390877	0.00207269857693686	0.325577711495743
ENSG00000185681.12	-0.259370759687721	0.0829052234616507	-3.12852132661699	0.00207961530456256	0.325577711495743
ENSG00000099974.7	-0.345751566064787	0.111063515022803	-3.11309763601305	0.00218493173103797	0.338575237423904
ENSG00000115295.19	-0.10903024646839	0.0351241401770119	-3.10413994247035	0.00224833995338337	0.344881722546262
ENSG00000204241.7	0.212681822214242	0.0686026615017528	3.100197828459	0.0022767803091828	0.345751857752501
ENSG00000171241.8	-0.213086508315482	0.0688060414969782	-3.09691567309304	0.00230071273192229	0.345926965811603
ENSG00000188508.10	-0.359570931143625	0.116662262674024	-3.08215289933414	0.00241126039623955	0.358994121346018
ENSG00000274312.1	-0.415312187803111	0.1348944335195	-3.07879411305045	0.00243708767294849	0.359316634965008
ENSG00000267681.1	0.367339147598601	0.11968426023529	3.0692352267244	0.00251199512870542	0.361432149015737
ENSG00000177888.7	-0.166152779512793	0.054158475531261	-3.0678998602331	0.00252262720484862	0.361432149015737
ENSG00000160678.11	-0.355832322669917	0.116032678468255	-3.06665611246118	0.00253256716677932	0.361432149015737
ENSG00000119139.17	-0.17828848067826	0.0581709987964098	-3.06490320550011	0.00254663768896904	0.361432149015737
ENSG00000181744.8	-0.160465122494923	0.0526092524462005	-3.05013120380333	0.00266810963064285	0.375165859730948
ENSG00000129038.15	0.315900626554882	0.103859463219605	3.04161620676708	0.00274053526732867	0.381814390547277
ENSG00000180777.13	-0.310629733119566	0.102861756069927	-3.01987585073305	0.00293375050332765	0.403568734077046
ENSG00000275964.1	-0.263235437518663	0.0873093619060055	-3.01497378714157	0.00297901577890168	0.403568734077046
ENSG00000092295.11	-0.271925135656349	0.0902679428878494	-3.01242198455984	0.00300283259300186	0.403568734077046
ENSG00000100938.17	-0.168297886835009	0.0559242004201837	-3.00939281331716	0.00303133234371905	0.403568734077046
ENSG00000238243.3	-0.224690203961896	0.0747337995473615	-3.00654061914117	0.00305839439240279	0.403568734077046
ENSG00000186312.10	0.34471296794104	0.114851048720228	3.0013915569961	0.00310781320788736	0.403568734077046
ENSG00000091136.13	-0.20728949001705	0.0690656834306158	-3.00133843206367	0.00310832688929051	0.403568734077046
ENSG00000178460.17	-0.251319087503984	0.083738423562855	-3.00123977513549	0.00310928104089387	0.403568734077046
ENSG00000143382.14	-0.169312058452828	0.0566027677974058	-2.99123285028807	0.00320747395225457	0.412785588465575
ENSG00000227370.1	0.240171337658967	0.0804063012972567	2.9869715903368	0.0032501468680099	0.414762439811751
ENSG00000118523.5	-0.389445799304683	0.13062382783333	-2.98143000220142	0.00330642200414852	0.415195396677855
ENSG00000087245.12	-0.360749413790306	0.121005918522688	-2.98125429065412	0.00330822092703941	0.415195396677855
ENSG00000086159.12	-0.241297606336293	0.081916458641691	-2.94565476019597	0.00369180868984399	0.459539399704679
ENSG00000167874.6	0.332449066222408	0.113835596543692	2.92043153737776	0.00398784307430302	0.492352722978582
ENSG00000116544.11	0.118715759721835	0.0408011322866622	2.90961924506793	0.00412127901963181	0.504723735420392
ENSG00000011347.9	0.128083225045861	0.0440784943043261	2.90579855476802	0.00416939994891544	0.506532060993839
ENSG00000197417.7	-0.28303824539197	0.097503667524113	-2.90284717056385	0.0042069236867569	0.507034469103891
ENSG00000240038.6	-0.135637855551956	0.0468345788651833	-2.89610494721003	0.00429380641375557	0.513119130486532
ENSG00000186998.15	-0.332586637203379	0.114934108625026	-2.8937157227055	0.00432498674451969	0.513119130486532
ENSG00000204347.3	-0.316871760452811	0.10983412107401	-2.88500292399382	0.0044404554886443	0.522734550779475
ENSG00000171813.13	0.155061899817465	0.0538577317322485	2.87910193820171	0.00452025389690469	0.522780083816285
ENSG00000152944.8	-0.147418163113805	0.0512500785410399	-2.87644755501702	0.00455657454711171	0.522780083816285
ENSG00000196126.11	-0.239195893416564	0.0832833830224565	-2.87207225182084	0.00461702568582255	0.522780083816285
ENSG00000053524.12	0.203044503282918	0.0707015254448711	2.87185463121641	0.00462005147602396	0.522780083816285
ENSG00000173451.6	-0.18145245919065	0.0631860865208211	-2.87171542315503	0.00462198797086441	0.522780083816285
ENSG00000080845.17	0.12167187639359	0.0423959470480408	2.86989405510197	0.00464739308015267	0.522780083816285
ENSG00000068305.17	-0.099904528972162	0.0348564751715388	-2.86616843729903	0.00469975722583408	0.524783185525856
ENSG00000163431.12	-0.391839553847874	0.137193761411076	-2.85610329374816	0.00484393078073925	0.534563145839195
ENSG00000272398.5	-0.222112580156444	0.0778582738530334	-2.85278068938064	0.00489240328626733	0.534563145839195
ENSG00000144455.13	-0.224367577387848	0.0786497505478884	-2.8527436619298	0.00489294595493534	0.534563145839195
ENSG00000161243.8	-0.234880815040651	0.0824908766115319	-2.84735506141797	0.00497250886071547	0.53859181705169
ENSG00000172247.3	0.156868684423641	0.0551633934945248	2.843709831579	0.00502699842459851	0.53859181705169
ENSG00000183346.6	-0.203803364305514	0.0717228268571939	-2.84154115552784	0.00505967411299779	0.53859181705169
ENSG00000174446.12	-0.122513082219138	0.0431270638731614	-2.84074711367911	0.00507168641106227	0.53859181705169
ENSG00000278727.1	-0.137087547619852	0.0482982861012406	-2.83835222087374	0.00510807418225197	0.538688989803322
ENSG00000163565.18	-0.183256544760883	0.0646909908535801	-2.83279854494208	0.00519337433265585	0.543907466315254
ENSG00000229325.1	-0.196926260228031	0.0696469448661096	-2.82749316006043	0.00527607194330431	0.548783757061776
ENSG00000167889.12	0.144511260260807	0.0513842521053519	2.8123647681885	0.00551851988928703	0.570096891419816
ENSG00000184232.8	-0.273066320270106	0.0971763324705917	-2.81000850029758	0.00555718182259357	0.570211913229094
ENSG00000130653.15	-0.257848473856885	0.0918874693463232	-2.80613315059375	0.00562130578383655	0.572920467337865
ENSG00000160714.9	-0.121709758182905	0.0434491284736158	-2.80120136947769	0.00570388405626889	0.577461221856663
ENSG00000047578.12	-0.186354690918499	0.0667698334433407	-2.79100128468398	0.0058781886045632	0.586386013737218
ENSG00000265474.1	0.263318334798673	0.0943985803225128	2.78943108994908	0.00590544718009763	0.586386013737218
ENSG00000129007.14	-0.236834362911199	0.0849821427220842	-2.78687210424565	0.00595011761258732	0.586386013737218
ENSG00000155961.4	-0.117047786345711	0.0420094768422198	-2.78622337491424	0.00596149074611651	0.586386013737218
ENSG00000232320.6	-0.209731470687741	0.0753107778573264	-2.78487988910525	0.00598510681741531	0.586386013737218
ENSG00000146063.19	-0.170993150385843	0.0615400709258415	-2.7785660271971	0.00609723651337533	0.58641043105628
ENSG00000255150.2	-0.219239285715682	0.0789274767687445	-2.77773083204025	0.00611221112539385	0.58641043105628
ENSG00000229619.3	-0.158659998038188	0.0571288775356258	-2.77722939575081	0.00612121766652853	0.58641043105628
ENSG00000134294.13	-0.138293887096422	0.049864062928806	-2.77341794818992	0.00619007218358608	0.58641043105628
