gene	Estimate	Std..Error	t.value	Pr...t..	FDR
ENSG00000260197.1	-1.42811038870035	0.0712106360613247	-20.0547343443261	2.37694209655443e-37	3.70089884433524e-33
ENSG00000278847.1	-1.42162998595463	0.0768948841316881	-18.4879657731194	1.70141752828997e-34	1.32455354577374e-30
ENSG00000176728.7	-1.49733111656177	0.0836608745715122	-17.8976268683621	2.19329255146128e-33	1.13831883420841e-29
ENSG00000114374.12	-1.55892800096866	0.0951590088054932	-16.3823480355406	1.90025368432156e-30	7.39673746622166e-27
ENSG00000099725.14	-1.67084072319864	0.107541519250568	-15.5367037293349	9.39624982980501e-29	2.92599219700128e-25
ENSG00000233864.7	-1.5170646971647	0.098383341148985	-15.4199347109727	1.621487966577e-28	3.90086628620172e-25
ENSG00000129824.15	-1.60030913192691	0.103894713432567	-15.4031815388335	1.75376133612152e-28	3.90086628620172e-25
ENSG00000229807.10	1.53239152565988	0.101540158848278	15.0914824542434	7.59133956845573e-28	1.4774644635107e-24
ENSG00000012817.15	-1.556031828821	0.107410348170722	-14.486796247488	1.34659921362663e-26	2.32961663957407e-23
ENSG00000154620.5	-1.39812470419607	0.0972918879079815	-14.3704139600869	2.35370870165383e-26	3.66472444847501e-23
ENSG00000183878.15	-1.47569106698523	0.104806984815192	-14.0800832080738	9.54263356877818e-26	1.35071640605342e-22
ENSG00000067646.11	-1.5316771003427	0.110522113515603	-13.8585578181733	2.79432022524498e-25	3.62563049225536e-22
ENSG00000067048.16	-1.61054872028355	0.1189527439311	-13.5393994880556	1.32621928094262e-24	1.5884026310982e-21
ENSG00000198692.9	-1.49681926007542	0.120340725721318	-12.4381771100643	3.09436129879279e-22	3.44137181587169e-19
ENSG00000005889.15	1.03869338609267	0.0842929872768446	12.3224175539214	5.52467573992702e-22	5.73461341804425e-19
ENSG00000131002.11	-1.52674974632338	0.126035251272317	-12.1136724123683	1.57566520725362e-21	1.53331920480867e-18
ENSG00000198034.10	1.08077977101572	0.0971791701246384	11.1215167780251	2.39426463330397e-19	2.19286472591429e-16
ENSG00000225470.7	1.04525047603998	0.10969466704946	9.52872645639817	8.26643927326834e-16	7.15046997137712e-13
ENSG00000130021.13	0.930229865549749	0.108383548749991	8.5827588806445	1.02761823163146e-13	8.42106098236938e-11
ENSG00000215301.9	0.59349270918992	0.0810608628176467	7.32156910943611	5.60042612696831e-11	4.35993173984483e-08
ENSG00000126012.11	0.664034101091836	0.0933246815607817	7.11531065508491	1.5325111497542e-10	1.13624755246061e-07
ENSG00000149531.15	-0.634032791521875	0.0922767978517239	-6.87098822545488	4.99169536577223e-10	3.53275894750335e-07
ENSG00000258484.3	-0.847209505204564	0.134026109217925	-6.32122733509344	6.74649703523888e-09	4.56708516689867e-06
ENSG00000223773.7	-0.53461500264319	0.0915691130911415	-5.83837698756645	6.17759547130335e-08	4.00771506200805e-05
ENSG00000178605.13	-0.574508550966944	0.102103343994032	-5.62673589809679	1.59063762342956e-07	9.7502125877045e-05
ENSG00000147050.14	0.639429512658955	0.113747723367464	5.62147086314217	1.62816652074706e-07	9.7502125877045e-05
ENSG00000214717.11	-0.550143309212871	0.0987766947130879	-5.56956588607107	2.04784859426456e-07	0.000118092602269256
ENSG00000228906.1	0.944242704122147	0.182097408119776	5.18537146613897	1.08178649769622e-06	0.000601550563183219
ENSG00000080007.7	-0.639108017358178	0.125863320546368	-5.07779402755176	1.70507821366925e-06	0.000915450613338973
ENSG00000173674.10	0.55996438614218	0.110490753860385	5.06797507101587	1.77693008278404e-06	0.000922226712964918
ENSG00000056998.19	0.524378407533357	0.106451533695637	4.92598264514108	3.21213861460169e-06	0.00161332252352737
ENSG00000096433.10	-0.43377038596154	0.0893232108758241	-4.85618890888911	4.28257427996808e-06	0.00207165778425005
ENSG00000282995.1	-0.73351798210328	0.151237493590477	-4.85010670759667	4.39079684523132e-06	0.00207165778425005
ENSG00000169093.15	-0.385747266036012	0.0827502859768823	-4.66158227107247	9.43345477183285e-06	0.00431996737639522
ENSG00000167393.17	-0.477799339027754	0.10444742414543	-4.57454401520211	1.33489428753874e-05	0.00589205460793482
ENSG00000169249.12	0.61581105983197	0.134768039102595	4.56941470642879	1.36232476484042e-05	0.00589205460793482
ENSG00000169084.13	-0.397418671189555	0.0877190388044936	-4.53058625135318	1.58841096018992e-05	0.00668420504058299
ENSG00000196422.10	-0.499407765184378	0.111478808775493	-4.47984483033125	1.93908693072552e-05	0.00794515355563063
ENSG00000135333.13	0.376389612762814	0.0841895720492659	4.4707391141335	2.00947621028062e-05	0.00802244733181261
ENSG00000188153.12	0.358079427373382	0.0834435113293285	4.29127947360869	4.02163213158933e-05	0.0156542030722115
ENSG00000185291.11	-0.438590492221162	0.103911737698904	-4.22079836150971	5.25632461397011e-05	0.0199612132291499
ENSG00000270012.1	-0.345507738509259	0.083923832348521	-4.11692041271931	7.76037722021566e-05	0.0287688269806566
ENSG00000261600.1	0.538488304021669	0.135864678380393	3.96341647027651	0.000136473728808662	0.0494161850593225
ENSG00000282826.1	-0.525678579921283	0.13359037761251	-3.93500332371286	0.000151278963468066	0.0535321241181316
ENSG00000231305.3	-0.384276177519999	0.100092171272686	-3.83922311439419	0.00021332178893624	0.0738093389719389
ENSG00000132763.14	0.438116207168517	0.114384931149518	3.83019164120346	0.00022028588117459	0.0745619819540949
ENSG00000101846.6	0.330844409825423	0.087052193673121	3.80052926716283	0.000244713511913142	0.0810678591593111
ENSG00000006757.11	0.402832768730294	0.108613559058227	3.7088626155261	0.000337545302082102	0.109491257362882
ENSG00000247516.6	-0.505347676712498	0.14441460771733	-3.49928365765906	0.000690513382215836	0.215454586866397
ENSG00000215548.2	-0.583363705870356	0.16673780655546	-3.4986888572048	0.000691890131234417	0.215454586866397
ENSG00000255026.1	-0.505318131305418	0.148630085699233	-3.39983744830758	0.00096034158210417	0.293186635948273
ENSG00000136918.7	-0.405107145972757	0.119478639426015	-3.390624030529	0.00098982169955466	0.296375458885886
ENSG00000211893.3	0.564046675026433	0.168968445484025	3.33817757162098	0.00117448130517427	0.345031583425724
ENSG00000211896.7	0.643714300065391	0.194344773083905	3.31222851971161	0.00127735633713167	0.364063174275857
ENSG00000211448.11	0.465291784745118	0.140600904427259	3.30930861818063	0.0012894464043404	0.364063174275857
ENSG00000169100.13	-0.358699673418851	0.108547455166648	-3.30454244982673	0.00130941154524393	0.364063174275857
ENSG00000130741.10	0.37296002919651	0.113125037380438	3.29688314658628	0.0013421031324676	0.366587001621764
ENSG00000169564.6	-0.26363130448512	0.0800948153531239	-3.29149025842454	0.00136557778381903	0.366587001621764
ENSG00000005981.12	-0.468784911460375	0.143207077353666	-3.27347586532095	0.00144680740592812	0.376701989723532
ENSG00000189134.3	-0.440278826158314	0.134541738035968	-3.27243302030638	0.00145164543246062	0.376701989723532
ENSG00000233223.2	-0.330102900528981	0.101847159321426	-3.24115962318781	0.00160395643286231	0.402800688553451
ENSG00000106018.13	-0.434756658860358	0.13413616689907	-3.24115910653305	0.00160395906809981	0.402800688553451
ENSG00000180263.13	-0.311581649887783	0.0964790228628152	-3.22952742101074	0.00166432299092698	0.41132553918624
ENSG00000008130.15	-0.320681622294748	0.100180585098701	-3.20103562959633	0.00182125910357716	0.443078191292131
ENSG00000241351.3	0.507332213042505	0.159855142897159	3.17369966238052	0.00198470209855435	0.475412487299866
ENSG00000135824.12	0.449032468856652	0.142055492895821	3.1609651953829	0.00206541681934657	0.487250604200394
ENSG00000211959.2	0.542518396414689	0.172620225596615	3.14284374579874	0.00218555328207218	0.507896486594982
ENSG00000101439.8	-0.317923083762462	0.101515455128655	-3.13177026453306	0.00226213114647064	0.513275219532817
ENSG00000065060.16	-0.218824794474673	0.0699121634903399	-3.12999603430823	0.00227463006729379	0.513275219532817
ENSG00000211592.8	0.529258863476753	0.169478067021049	3.12287526509858	0.00232544228545126	0.517244805492516
ENSG00000163106.10	0.215902279345576	0.0694713296763851	3.10778965008015	0.00243659258735583	0.526296738217227
ENSG00000127947.15	-0.251420128916833	0.0810598250475145	-3.10166138120159	0.00248313869624002	0.526296738217227
ENSG00000270890.1	-0.446273037429478	0.144025094565199	-3.09857833301025	0.00250686621748769	0.526296738217227
ENSG00000248367.1	-0.346822083184744	0.111945162454501	-3.09814265824756	0.00251023614307366	0.526296738217227
ENSG00000130762.14	-0.37982751281399	0.122725375067115	-3.09493870038102	0.00253514806463019	0.526296738217227
ENSG00000146938.14	0.346390566422208	0.113460898656858	3.05295102121309	0.00288353205231324	0.590744658612067
ENSG00000203684.5	-0.267923424801056	0.0884497515415553	-3.02910319284707	0.00310064585063868	0.626974751875899
ENSG00000112305.14	-0.214795834447095	0.0711539987513236	-3.01874579386305	0.00319957126216194	0.633674024302789
ENSG00000187922.13	0.368776106268346	0.122227070048339	3.01713937937398	0.00321517327680927	0.633674024302789
ENSG00000171045.14	-0.31745302330016	0.105553669655988	-3.00750342773281	0.00331024657186828	0.644256739049864
ENSG00000182378.13	-0.453255287978094	0.151884105757564	-2.9842180372815	0.0035508164086303	0.672779402839226
ENSG00000147364.16	-0.216562641975025	0.0725862171391058	-2.98352291262127	0.00355824005006294	0.672779402839226
ENSG00000177096.8	-0.306503123136245	0.102822495658375	-2.98089558295293	0.00358642841590596	0.672779402839226
ENSG00000197757.7	-0.395535893624118	0.133382516404278	-2.9654253367455	0.00375662872216757	0.688721710808306
ENSG00000086712.12	0.275435130751011	0.0928912277969541	2.96513607671405	0.00375988088752126	0.688721710808306
ENSG00000181656.6	-0.440621252330486	0.149098516991155	-2.95523564702273	0.00387276937886779	0.701151386383389
ENSG00000155363.18	-0.265539650201701	0.0906659617434064	-2.92876891278343	0.00419006620400889	0.734548269914685
ENSG00000128482.15	0.181142051323141	0.0618797386477792	2.92732411741759	0.00420805748597621	0.734548269914685
ENSG00000187147.17	-0.221240030018031	0.0757384011901544	-2.92110774113873	0.00428628065478171	0.734548269914685
ENSG00000158792.15	-0.276473287522225	0.0951287402494243	-2.90630661982195	0.00447794339908808	0.734548269914685
ENSG00000171940.13	-0.291851216733113	0.100622047368234	-2.9004698708332	0.00455566722242547	0.734548269914685
ENSG00000225265.1	-0.374827188852634	0.12927913060796	-2.89936347104082	0.00457053940772756	0.734548269914685
ENSG00000169372.12	-0.222284138807571	0.0766698675753739	-2.89923728626561	0.00457223841016225	0.734548269914685
ENSG00000065518.7	-0.297640575727033	0.102726185383184	-2.89741680387322	0.00459681478673068	0.734548269914685
ENSG00000166783.21	-0.248504657672208	0.0858408055920875	-2.89494787424402	0.00463033909948599	0.734548269914685
ENSG00000101986.11	-0.267876086735394	0.0925633025165692	-2.89397719671295	0.00464358082924282	0.734548269914685
ENSG00000243970.1	-0.398407560760953	0.137766099434776	-2.89191290452102	0.00467185709793408	0.734548269914685
ENSG00000105926.15	-0.300034024752962	0.103810547995622	-2.89020750343805	0.00469533655776277	0.734548269914685
ENSG00000230438.6	0.388936864671608	0.134673749074013	2.88799314896817	0.00472598486184992	0.734548269914685
ENSG00000167664.8	0.344954282283785	0.119570314254307	2.88494919859559	0.00476841528633042	0.734548269914685
ENSG00000157870.14	-0.305503432601508	0.10600515917266	-2.88196758521827	0.00481031562820446	0.734548269914685
ENSG00000158815.10	0.219816873510714	0.0762764838495087	2.88184329451271	0.00481206959096325	0.734548269914685
ENSG00000214026.10	-0.493699773579076	0.171687770581003	-2.8755675020321	0.00490139919220824	0.740920246822158
ENSG00000146072.6	-0.204504727193903	0.0714439705539701	-2.86244907174381	0.00509306177659159	0.753244947227119
ENSG00000116704.7	-0.221244957431706	0.0773133273318652	-2.86166648192515	0.00510470997422876	0.753244947227119
ENSG00000130985.16	0.228035614834296	0.0797728243861225	2.85856263193767	0.00515114918219423	0.753244947227119
ENSG00000136247.14	-0.270124483815203	0.0945521726825134	-2.85688288435449	0.00517644247612728	0.753244947227119
ENSG00000165626.16	-0.249856420005139	0.0876632487378029	-2.85018435436324	0.00527844398287436	0.76097567419772
ENSG00000156521.13	-0.231127413656823	0.0812781473745129	-2.84365996424397	0.00537956140475307	0.768438266715645
ENSG00000144485.10	-0.30513526967578	0.107647479559593	-2.83457885799229	0.005523258886238	0.778784435890329
ENSG00000155868.7	-0.285658212828874	0.100967106194033	-2.82922056100046	0.00560968760163684	0.778784435890329
ENSG00000177595.17	-0.245233827571312	0.0868009991850852	-2.82524198884395	0.00567466043909445	0.778784435890329
