gene	Estimate	Std..Error	t.value	Pr...t..	FDR
ENSG00000278847.1	-1.41359308149137	0.0956777231918542	-14.7745267585101	6.60568432567883e-26	9.86823181413161e-22
ENSG00000067646.11	-1.68633584022415	0.116197977370936	-14.512609241389	2.08177164121705e-25	1.55497932740708e-21
ENSG00000176728.7	-1.45224938440356	0.102124084024902	-14.2204397549303	7.56567054869475e-25	3.76745174423169e-21
ENSG00000229807.10	1.4540104814696	0.103614790965474	14.0328467385907	1.74198899693719e-24	6.50589340631118e-21
ENSG00000067048.16	-1.71267770509216	0.126670258537719	-13.5207563706217	1.73393993906102e-23	5.1806657499265e-20
ENSG00000099725.14	-1.63643342915072	0.122011989606756	-13.4120706860443	2.83502561805629e-23	7.0587412846905e-20
ENSG00000005889.15	1.11279638566537	0.0966946967837238	11.5083497097504	1.9099301170397e-19	4.0760637169223e-16
ENSG00000233864.7	-1.4995224014311	0.140617447758691	-10.6638431100271	1.05695358120256e-17	1.97372869369813e-14
ENSG00000126012.11	0.722520855721749	0.0689085026640763	10.4852206591106	2.48469843272748e-17	4.12432332072398e-14
ENSG00000165246.13	-1.70951611223395	0.165388729021412	-10.3363519530562	5.07222370848915e-17	7.57739499811194e-14
ENSG00000154620.5	-1.53707875426307	0.157889033684353	-9.73518374516085	9.13246638264493e-16	1.24027195718484e-12
ENSG00000012817.15	-1.49858665281266	0.156619781554403	-9.56831019644934	2.04075650575764e-15	2.54057178662611e-12
ENSG00000129824.15	-1.45466361157529	0.15503142185917	-9.38302438390007	4.98524013176422e-15	5.38982749444201e-12
ENSG00000130021.13	0.866449087171696	0.0923689752784142	9.38030420452415	5.05104658425518e-15	5.38982749444201e-12
ENSG00000147050.14	0.657424173489028	0.0719741553547406	9.134170039909	1.65458480543526e-14	1.64785616055982e-11
ENSG00000198692.9	-1.6023588977014	0.198223720047909	-8.0835880656166	2.5705132599294e-12	2.40005609938033e-09
ENSG00000183878.15	-1.84130108602494	0.234207988969985	-7.86182014594266	7.39361296659946e-12	6.49724612400173e-09
ENSG00000225470.7	1.11279475694601	0.14867804264202	7.48459380532301	4.40889189763412e-11	3.65913533659756e-08
ENSG00000002586.18	-0.803265418520915	0.113656722778834	-7.0674694719467	3.10744593627719e-10	2.44327025484447e-07
ENSG00000198034.10	0.798333204470275	0.11769611784604	6.78300371397623	1.15786673312485e-09	8.64868556307608e-07
ENSG00000173674.10	0.482631890368765	0.0737147389151949	6.5472915928524	3.40268331827733e-09	2.42060409960691e-06
ENSG00000167393.17	-0.471415826248299	0.0738160122411957	-6.38636268656637	7.05381468663684e-09	4.78986080016672e-06
ENSG00000215301.9	0.622550001438882	0.102434363724404	6.07755033373206	2.80718261329494e-08	1.82332613304405e-05
ENSG00000146938.14	0.435682685811552	0.0806560755017463	5.40173425375896	5.23968246630355e-07	0.00032614840151712
ENSG00000130741.10	0.540400899143298	0.101121030313879	5.34410001031336	6.67828116572859e-07	0.000399067369339278
ENSG00000188153.12	0.39618686344377	0.0755228070083594	5.24592343872914	1.00675689351155e-06	0.000578459278160349
ENSG00000101846.6	0.384419879082348	0.0746301128147627	5.15100225074703	1.49202414964972e-06	0.000825531435985823
ENSG00000072501.17	0.468596363282204	0.0920499462133033	5.09067503631503	1.9123737013917e-06	0.00102031966875324
ENSG00000006757.11	0.652483896448247	0.136716582766009	4.77252929562303	6.9085772101532e-06	0.0035588701704303
ENSG00000214717.11	-0.501875422320927	0.106118309062186	-4.72939520763399	8.19545725430959e-06	0.0040810645307377
ENSG00000124486.12	0.395194414186751	0.0884168146196495	4.46967486769111	2.25161726403274e-05	0.0106190831568938
ENSG00000135333.13	0.276846624972441	0.0619757271801943	4.46701696887735	2.27465466912513e-05	0.0106190831568938
ENSG00000224975.1	0.536868559453732	0.120520317970553	4.4545896367856	2.38542841865099e-05	0.0107987621655234
ENSG00000254461.1	0.460196863565376	0.10439276082896	4.40832161072333	2.84555234916068e-05	0.0125028548659151
ENSG00000215548.2	-0.679275553156022	0.157007880540045	-4.32637871946035	3.87893433366717e-05	0.0165564000030439
ENSG00000205611.4	-0.942455776406307	0.219866511348863	-4.28649079218303	4.50486454252415e-05	0.0186939365002134
ENSG00000122877.15	0.581603237622827	0.137370752900242	4.23382143100858	5.48194794310862e-05	0.0221337352221891
ENSG00000086712.12	0.309568291094053	0.0738773452782043	4.1903006926994	6.44043407145943e-05	0.0253193801561927
ENSG00000213144.2	0.563394879920507	0.136252331122763	4.13493754769515	7.89445388866067e-05	0.030239806831462
ENSG00000166925.8	0.399227357307173	0.0968346184206016	4.1227751378451	8.25373410833902e-05	0.0308256334611192
ENSG00000121350.15	0.282932101815861	0.0702670077378022	4.02652839397413	0.000117058727078694	0.0426522030202099
ENSG00000235513.1	0.297659089301453	0.0740687769487179	4.01868508653166	0.000120413597979748	0.042829970005225
ENSG00000095585.16	0.279724439766595	0.0705692221600867	3.9638305652858	0.000146587372693065	0.0509271804805046
ENSG00000185291.11	-0.508472245968093	0.128648797544949	-3.95240574083435	0.000152685538654557	0.0518402104991006
ENSG00000149531.15	-0.572388531574869	0.145112436154675	-3.9444485031232	0.000157075435458671	0.0521455540070463
ENSG00000185129.5	0.292774333465138	0.0748265858400412	3.91270469149842	0.000175819559177404	0.0570993129250269
ENSG00000085719.12	0.282116349573167	0.0723641556632922	3.89856479340191	0.000184840595211815	0.0587517798270064
ENSG00000271992.1	0.50226010441316	0.130046653285753	3.8621532482619	0.000210151192136915	0.0654051804027785
ENSG00000173641.17	0.59639824486405	0.156066766675378	3.82143013255712	0.000242372429274469	0.0738939126720672
ENSG00000260912.1	0.43041962608905	0.113024041672226	3.80821301132801	0.000253806474774556	0.0758322985331419
ENSG00000205339.9	0.295884726686634	0.0783553435808177	3.77619078884456	0.000283678617160687	0.0817261774448258
ENSG00000136051.13	0.216484076207795	0.0573409643377816	3.77538255081552	0.000284474277202687	0.0817261774448258
ENSG00000112249.13	0.314851283723507	0.0837842239888922	3.75788267449071	0.000302232047406574	0.0851895199284303
ENSG00000179151.11	0.286856049109955	0.0766716478008237	3.74135755964376	0.000319965435978181	0.0885178453347787
ENSG00000168309.16	0.487758664674401	0.1308272525469	3.72826498438881	0.000334713686179627	0.0909143228697716
ENSG00000185630.18	0.193569090083686	0.0521788006985344	3.70972669920186	0.000356705882822267	0.0951576639907473
ENSG00000112245.10	0.268897652233473	0.0726104736546095	3.70329015497894	0.000364657866110386	0.095572348453036
ENSG00000069712.12	0.252682614710373	0.0684668318626089	3.69058429952515	0.00038085239563705	0.0980957575589982
ENSG00000101144.12	0.345010017479173	0.0938461223239839	3.67633748667951	0.000399823043927668	0.101236550054838
ENSG00000249751.3	-0.537700359583408	0.146781002106129	-3.66328306707313	0.000417990832508347	0.104072750780703
ENSG00000119711.12	0.26965369530666	0.0737877411692772	3.65445114640445	0.000430723685586458	0.105484936704526
ENSG00000183943.5	0.391077436266066	0.107541024377978	3.63654185486956	0.000457681891148004	0.11027918986871
ENSG00000179388.8	0.615578188788629	0.169847117049923	3.6243075506998	0.000477009550314213	0.113111836065778
ENSG00000167994.11	0.35169003673315	0.0974948709609745	3.6072670620173	0.000505222967357821	0.117930092333726
ENSG00000152766.5	0.405180106428989	0.112913574496001	3.58840917256888	0.000538286336817111	0.12371476285709
ENSG00000185090.14	0.189901730791118	0.0532060275031699	3.56917702190421	0.000574110001598967	0.126971224180602
ENSG00000169249.12	0.646092943270193	0.181048438764713	3.56861924730454	0.000575181900420982	0.126971224180602
ENSG00000146352.12	0.169703732605392	0.0475736160066709	3.56718170385862	0.000577953226071421	0.126971224180602
ENSG00000258484.3	-0.704276998994636	0.197698544175903	-3.56237827612935	0.00058730531118641	0.127155855707446
ENSG00000182378.13	-0.465379630412926	0.130910098866116	-3.554955915883	0.000602038425294356	0.128483600506748
ENSG00000186312.10	0.473029345526456	0.133342968443515	3.54746373991842	0.000617264256285564	0.129877615840141
ENSG00000172113.8	0.352808920820178	0.0999937850412411	3.52830849111939	0.000657864875042149	0.135864239935104
