query	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents
query_1	TRUE	0.00032110244577391	25	197	6	0.0304568527918782	0.24	GO:0019755	GO:BP	one-carbon compound transport	21031	6253	GO:0071702
query_1	TRUE	0.00032110244577391	15	197	5	0.0253807106598985	0.333333333333333	GO:0015670	GO:BP	carbon dioxide transport	21031	4858	c("GO:0015669", "GO:0019755")
query_1	TRUE	0.00108307457959073	9	119	4	0.0336134453781513	0.444444444444444	REAC:R-HSA-1247673	REAC	Erythrocytes take up oxygen and release carbon dioxide	10842	826	REAC:R-HSA-1480926
query_1	TRUE	0.00198011605664458	13	119	4	0.0336134453781513	0.307692307692308	REAC:R-HSA-1480926	REAC	O2/CO2 exchange in erythrocytes	10842	1585	REAC:R-HSA-382551
query_1	TRUE	0.00198011605664458	13	119	4	0.0336134453781513	0.307692307692308	REAC:R-HSA-1237044	REAC	Erythrocytes take up carbon dioxide and release oxygen	10842	825	REAC:R-HSA-1480926
query_1	TRUE	0.00203287477661922	3	48	3	0.0625	1	HP:0005511	HP	Heinz body anemia	4958	3722	HP:0001878
query_1	TRUE	0.00225680776214111	23	197	5	0.0253807106598985	0.217391304347826	GO:0015669	GO:BP	gas transport	21031	4857	GO:0006810
query_1	TRUE	0.00269203767088795	4	48	3	0.0625	0.75	HP:0011907	HP	Reduced alpha/beta synthesis ratio	4958	8303	HP:0005560
query_1	TRUE	0.00269203767088795	4	48	3	0.0625	0.75	HP:0005560	HP	Imbalanced hemoglobin synthesis	4958	3754	HP:0011902
query_1	TRUE	0.00672036019859249	5	197	3	0.0152284263959391	0.6	GO:0030185	GO:BP	nitric oxide transport	21031	6938	GO:0071705
query_1	TRUE	0.00995814824235335	6	48	3	0.0625	0.5	HP:0020082	HP	Heinz bodies	4958	9324	HP:0020080
query_1	TRUE	0.0149137955924167	26	210	4	0.019047619047619	0.153846153846154	GO:0060293	GO:CC	germ plasm	22097	2287	GO:0045495
query_1	TRUE	0.0149137955924167	26	210	4	0.019047619047619	0.153846153846154	GO:0045495	GO:CC	pole plasm	22097	2190	GO:0005737
query_1	TRUE	0.0149137955924167	26	210	4	0.019047619047619	0.153846153846154	GO:0043186	GO:CC	P granule	22097	1860	c("GO:0036464", "GO:0060293")
