query	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents
query_1	TRUE	0.00318650343765929	10944	204	146	0.715686274509804	0.0133406432748538	TF:M12694	TF	Factor: ZFP14; motif: SCNNYCCNGNNSCTSCNC	20045	9388	TF:M00000
query_1	TRUE	0.00879810471568275	742	197	21	0.106598984771574	0.0283018867924528	GO:0016491	GO:MF	oxidoreductase activity	20212	2813	GO:0003824
query_1	TRUE	0.00943128963059674	4777	197	68	0.345177664974619	0.0142348754448399	GO:0012505	GO:CC	endomembrane system	22097	687	GO:0110165
query_1	TRUE	0.0102719407994348	2684	187	45	0.240641711229947	0.0167660208643815	GO:0009653	GO:BP	anatomical structure morphogenesis	21031	3608	c("GO:0032502", "GO:0048856")
query_1	TRUE	0.0102719407994348	6453	187	85	0.454545454545455	0.0131721679838835	GO:0032502	GO:BP	developmental process	21031	7884	GO:0008150
query_1	TRUE	0.0102719407994348	53	187	6	0.0320855614973262	0.113207547169811	GO:0042572	GO:BP	retinol metabolic process	21031	10597	c("GO:0001523", "GO:0034308", "GO:0042445", "GO:0120254")
query_1	TRUE	0.0102719407994348	921	187	22	0.117647058823529	0.0238870792616721	GO:0043436	GO:BP	oxoacid metabolic process	21031	11048	GO:0006082
query_1	TRUE	0.0102719407994348	927	187	22	0.117647058823529	0.0237324703344121	GO:0006082	GO:BP	organic acid metabolic process	21031	1967	c("GO:0044237", "GO:0044281", "GO:0071704")
query_1	TRUE	0.0102719407994348	7669	187	97	0.518716577540107	0.0126483244230017	GO:0032501	GO:BP	multicellular organismal process	21031	7883	GO:0008150
query_1	TRUE	0.0102719407994348	1130	187	25	0.133689839572193	0.0221238938053097	GO:0072359	GO:BP	circulatory system development	21031	17886	GO:0048731
query_1	TRUE	0.0102719407994348	7394	187	94	0.502673796791444	0.0127130105490939	GO:0051716	GO:BP	cellular response to stimulus	21031	14364	c("GO:0009987", "GO:0050896")
query_1	TRUE	0.0102719407994348	721	187	19	0.101604278074866	0.0263522884882108	GO:0001568	GO:BP	blood vessel development	21031	358	c("GO:0001944", "GO:0048856")
query_1	TRUE	0.0102719407994348	899	187	22	0.117647058823529	0.0244716351501669	GO:0019752	GO:BP	carboxylic acid metabolic process	21031	6252	GO:0043436
query_1	TRUE	0.0130860098468608	84	114	7	0.0614035087719298	0.0833333333333333	REAC:R-HSA-216083	REAC	Integrin cell surface interactions	10842	1182	REAC:R-HSA-1474244
query_1	TRUE	0.0130860098468608	2074	114	40	0.350877192982456	0.0192864030858245	REAC:R-HSA-1430728	REAC	Metabolism	10842	1372	REAC:0000000
query_1	TRUE	0.0131184146439982	5899	187	78	0.417112299465241	0.0132225800983217	GO:0048856	GO:BP	anatomical structure development	21031	13525	GO:0032502
query_1	TRUE	0.0131184146439982	106	187	7	0.0374331550802139	0.0660377358490566	GO:0034308	GO:BP	primary alcohol metabolic process	21031	8853	GO:0006066
query_1	TRUE	0.0131184146439982	752	187	19	0.101604278074866	0.0252659574468085	GO:0001944	GO:BP	vasculature development	21031	560	c("GO:0048731", "GO:0072359")
query_1	TRUE	0.0137584084258284	1183	187	25	0.133689839572193	0.0211327134404057	GO:0048646	GO:BP	anatomical structure formation involved in morphogenesis	21031	13329	c("GO:0009653", "GO:0032502")
query_1	TRUE	0.0139206388951536	202	99	10	0.101010101010101	0.0495049504950495	KEGG:04510	KEGG	Focal adhesion	8484	313	KEGG:00000
query_1	TRUE	0.0139206388951536	89	99	7	0.0707070707070707	0.0786516853932584	KEGG:04512	KEGG	ECM-receptor interaction	8484	314	KEGG:00000
query_1	TRUE	0.0139558279855291	24	187	4	0.0213903743315508	0.166666666666667	GO:0042178	GO:BP	xenobiotic catabolic process	21031	10351	c("GO:0006805", "GO:0044248")
query_1	TRUE	0.0168331424103523	2	187	2	0.0106951871657754	1	GO:0072105	GO:BP	ureteric peristalsis	21031	17649	c("GO:0014849", "GO:0030432")
query_1	TRUE	0.0168331424103523	161	187	8	0.0427807486631016	0.0496894409937888	GO:0120254	GO:BP	olefinic compound metabolic process	21031	20149	GO:0071704
query_1	TRUE	0.0168331424103523	27	187	4	0.0213903743315508	0.148148148148148	GO:0042759	GO:BP	long-chain fatty acid biosynthetic process	21031	10700	c("GO:0001676", "GO:0006633")
query_1	TRUE	0.0168331424103523	872	187	20	0.106951871657754	0.0229357798165138	GO:0035239	GO:BP	tube morphogenesis	21031	9225	c("GO:0009653", "GO:0035295")
query_1	TRUE	0.0168331424103523	3973	187	57	0.304812834224599	0.0143468411779512	GO:0048731	GO:BP	system development	21031	13413	c("GO:0007275", "GO:0048856")
