query	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents
query_1	TRUE	0.00082205995298403	742	400	36	0.09	0.0485175202156334	GO:0016491	GO:MF	oxidoreductase activity	20212	2813	GO:0003824
query_1	TRUE	0.00429400255434046	1091	384	43	0.111979166666667	0.0394133822181485	GO:0035295	GO:BP	tube development	21031	9257	c("GO:0007275", "GO:0048856")
query_1	TRUE	0.00429400255434046	1130	384	43	0.111979166666667	0.0380530973451327	GO:0072359	GO:BP	circulatory system development	21031	17886	GO:0048731
query_1	TRUE	0.00429400255434046	106	384	11	0.0286458333333333	0.10377358490566	GO:0034308	GO:BP	primary alcohol metabolic process	21031	8853	GO:0006066
query_1	TRUE	0.00429400255434046	568	384	28	0.0729166666666667	0.0492957746478873	GO:1901615	GO:BP	organic hydroxy compound metabolic process	21031	22130	GO:0071704
query_1	TRUE	0.00429400255434046	25	384	6	0.015625	0.24	GO:0019755	GO:BP	one-carbon compound transport	21031	6253	GO:0071702
query_1	TRUE	0.00429400255434046	15	384	5	0.0130208333333333	0.333333333333333	GO:0015670	GO:BP	carbon dioxide transport	21031	4858	c("GO:0015669", "GO:0019755")
query_1	TRUE	0.0062090478829503	10658	420	272	0.647619047619048	0.0255207355976731	TF:M13137	TF	Factor: AP2BETA; motif: SCCYCAGGSNN	20045	8702	TF:M00000
query_1	TRUE	0.00715127189766133	2683	384	79	0.205729166666667	0.0294446515095043	GO:0070887	GO:BP	cellular response to chemical stimulus	21031	16854	c("GO:0042221", "GO:0051716")
query_1	TRUE	0.00759034912929796	1813	384	58	0.151041666666667	0.0319911748483177	GO:0044281	GO:BP	small molecule metabolic process	21031	11317	GO:0008152
query_1	TRUE	0.00759034912929796	921	384	36	0.09375	0.0390879478827362	GO:0043436	GO:BP	oxoacid metabolic process	21031	11048	GO:0006082
query_1	TRUE	0.00759034912929796	18	384	5	0.0130208333333333	0.277777777777778	GO:0016264	GO:BP	gap junction assembly	21031	5255	GO:0007043
query_1	TRUE	0.00759034912929796	5899	384	145	0.377604166666667	0.0245804373622648	GO:0048856	GO:BP	anatomical structure development	21031	13525	GO:0032502
query_1	TRUE	0.00759034912929796	10	384	4	0.0104166666666667	0.4	GO:1903596	GO:BP	regulation of gap junction assembly	21031	23727	c("GO:0016264", "GO:1901888")
query_1	TRUE	0.00759034912929796	1183	384	43	0.111979166666667	0.0363482671174979	GO:0048646	GO:BP	anatomical structure formation involved in morphogenesis	21031	13329	c("GO:0009653", "GO:0032502")
query_1	TRUE	0.00759034912929796	927	384	36	0.09375	0.0388349514563107	GO:0006082	GO:BP	organic acid metabolic process	21031	1967	c("GO:0044237", "GO:0044281", "GO:0071704")
query_1	TRUE	0.00761443122713234	899	384	35	0.0911458333333333	0.0389321468298109	GO:0019752	GO:BP	carboxylic acid metabolic process	21031	6252	GO:0043436
query_1	TRUE	0.00975077495818217	6453	384	155	0.403645833333333	0.0240198357353169	GO:0032502	GO:BP	developmental process	21031	7884	GO:0008150
query_1	TRUE	0.0127969073591646	23	384	5	0.0130208333333333	0.217391304347826	GO:0015669	GO:BP	gas transport	21031	4857	GO:0006810
query_1	TRUE	0.0127969073591646	599	384	26	0.0677083333333333	0.0434056761268781	GO:0007507	GO:BP	heart development	21031	3027	c("GO:0048513", "GO:0072359")
query_1	TRUE	0.0127969073591646	1411	384	47	0.122395833333333	0.033309709425939	GO:2000026	GO:BP	regulation of multicellular organismal development	21031	26054	c("GO:0007275", "GO:0050793", "GO:0051239")
query_1	TRUE	0.0127969073591646	53	384	7	0.0182291666666667	0.132075471698113	GO:0042572	GO:BP	retinol metabolic process	21031	10597	c("GO:0001523", "GO:0034308", "GO:0042445", "GO:0120254")
query_1	TRUE	0.0135398579058536	7669	384	177	0.4609375	0.0230799321945495	GO:0032501	GO:BP	multicellular organismal process	21031	7883	GO:0008150
query_1	TRUE	0.0135398579058536	5	384	3	0.0078125	0.6	GO:0030185	GO:BP	nitric oxide transport	21031	6938	GO:0071705
query_1	TRUE	0.0160323678786582	511	384	23	0.0598958333333333	0.0450097847358121	GO:1901652	GO:BP	response to peptide	21031	22152	c("GO:0010243", "GO:1901700")
query_1	TRUE	0.0169968215751317	9	233	4	0.0171673819742489	0.444444444444444	REAC:R-HSA-1247673	REAC	Erythrocytes take up oxygen and release carbon dioxide	10842	826	REAC:R-HSA-1480926
query_1	TRUE	0.0169968215751317	2074	233	70	0.300429184549356	0.0337512054001929	REAC:R-HSA-1430728	REAC	Metabolism	10842	1372	REAC:0000000
query_1	TRUE	0.0185229849101097	123	384	10	0.0260416666666667	0.0813008130081301	GO:0006805	GO:BP	xenobiotic metabolic process	21031	2515	c("GO:0044237", "GO:0071466")
query_1	TRUE	0.0197565466499947	10944	420	274	0.652380952380952	0.0250365497076023	TF:M12694	TF	Factor: ZFP14; motif: SCNNYCCNGNNSCTSCNC	20045	9388	TF:M00000
query_1	TRUE	0.020468025338207	26	407	5	0.0122850122850123	0.192307692307692	GO:0060293	GO:CC	germ plasm	22097	2287	GO:0045495
query_1	TRUE	0.020468025338207	26	407	5	0.0122850122850123	0.192307692307692	GO:0045495	GO:CC	pole plasm	22097	2190	GO:0005737
query_1	TRUE	0.020468025338207	26	407	5	0.0122850122850123	0.192307692307692	GO:0043186	GO:CC	P granule	22097	1860	c("GO:0036464", "GO:0060293")
query_1	TRUE	0.022218116099073	12345	407	263	0.646191646191646	0.0213041717294451	GO:0005737	GO:CC	cytoplasm	22097	309	c("GO:0005622", "GO:0110165")
query_1	TRUE	0.022218116099073	4777	407	119	0.292383292383292	0.0249110320284698	GO:0012505	GO:CC	endomembrane system	22097	687	GO:0110165
