gene_ID	RE_sample_size	RE_beta	RE_SE	RE_Z	RE_metaP	RE_I2	RE_H2	RE_Q_val	RE_Q_pval	RE_metaP_FDR
ENSG00000067048.16	10	-1.59890536668117	0.0394457352551287	-40.5343025384039	0	0	1	8.43761923635406	0.490715599417995	0
ENSG00000067646.11	12	-1.60728330487004	0.0319153523210322	-50.3608197303477	0	0.0163279314907454	1.0001633059794	11.0955514169552	0.435293366506349	0
ENSG00000099725.14	8	-1.66923915494439	0.0390726725257241	-42.7213970031209	0	0	1	1.82448568478988	0.968912995093615	0
ENSG00000129824.15	11	-1.56446291959833	0.0376837681233483	-41.5155648574595	0	7.66950366962253	1.0830657688894	9.55886504691476	0.48000900559628	0
ENSG00000154620.5	12	-1.46376133471286	0.0289095836018604	-50.6323907971701	0	0	1	7.18438021863428	0.783961446039247	0
ENSG00000176728.7	10	-1.61255813422946	0.0360485088171646	-44.7330052515691	0	28.3935858494169	1.39652293982641	11.8605282893285	0.221286763180977	0
ENSG00000198692.9	11	-1.63349638068693	0.034429388087735	-47.4448275561668	0	0	1	4.08121464012843	0.94360887015528	0
ENSG00000229807.10	11	1.52996106197609	0.0283294467888672	54.0060338409901	0	0	1	5.4332319178525	0.860425292318745	0
ENSG00000233864.7	10	-1.56595640586361	0.0374388884056361	-41.8270005481218	0	14.1531703429601	1.16486538174447	10.0986328463296	0.342559527959656	0
ENSG00000278847.1	13	-1.49925059702012	0.0259074223730723	-57.8695392938208	0	0	1	8.26010661998141	0.764487896444204	0
ENSG00000183878.15	12	-1.63617973786727	0.0437814765864138	-37.3715065237204	1.13460979124126e-305	27.7100041930588	1.3833172748697	15.127705198051	0.17672486527081	2.06210172240866e-302
ENSG00000012817.15	9	-1.59429173177924	0.0503721460109817	-31.6502642438873	7.52005513682043e-220	31.1798790950454	1.45306341641142	11.7425251744747	0.163066763629891	1.25284118579428e-216
ENSG00000114374.12	9	-1.56714960163641	0.0536083437193797	-29.2333150570716	7.31828330283716e-188	53.7306544414521	2.16125814603241	17.4222697176535	0.0260003621253911	1.12543938300246e-184
ENSG00000165246.13	11	-1.49692289225243	0.0542501342785	-27.5929804075283	1.3508915102725e-167	57.6750248410034	2.36267120357055	27.3483780285377	0.00229332827880441	1.92907307666913e-164
ENSG00000005889.15	13	1.03236438754674	0.0387062697553532	26.6717612953122	1.00105222756251e-156	74.1450494247956	3.86773123812902	50.0084238984007	1.39235975796939e-06	1.25081475833936e-153
ENSG00000131002.11	10	-1.65620119258285	0.0620933912385497	-26.6727450304668	9.75091917467123e-157	58.3335608811196	2.40001310682407	21.3159421437383	0.0113191076437079	1.25081475833936e-153
ENSG00000260197.1	8	-1.60385805496633	0.0606107836468539	-26.4615957502075	2.68363068936538e-154	68.106773794002	3.13546203680058	21.7641774560058	0.00278937728081104	3.15594969069369e-151
ENSG00000205611.4	12	-1.04797528632881	0.0419269526133254	-24.9952648835187	6.88288247237438e-138	0	1	7.6536981995205	0.74394803994364	7.64458813265048e-135
ENSG00000225470.7	12	0.96268390651377	0.0405072059424691	23.7657444920056	7.55365588533573e-125	48.6857402657368	1.94877604232939	21.2284725507227	0.0310798093852754	7.94803623471747e-122
ENSG00000130021.13	13	0.845077364932091	0.0395697518687457	21.3566505985492	3.38210017450182e-101	67.5310475291238	3.07986529869411	36.4695383945008	0.000272213132153238	3.38074733443202e-98
ENSG00000149531.15	12	-0.642826493747548	0.0314749434081419	-20.4234360459966	1.03520654229983e-92	0.0277214905920542	1.00027729177533	11.5221681239156	0.400609180007364	9.85516628269438e-90
ENSG00000261600.1	11	0.794114492089344	0.044827239112018	17.7149989118211	3.21233704555236e-70	12.7404980182131	1.14600699899562	11.1578475116494	0.345353254905496	2.91913828248558e-67
ENSG00000273906.1	2	-1.51883272398557	0.0875531699444562	-17.3475469243332	2.05848615357992e-67	0	1	0.472316011688092	0.491923619996633	1.78927196445086e-64
ENSG00000002586.18	12	-1.04929273944914	0.0656571284700952	-15.9813985761966	1.72237735823765e-57	88.6354646053401	8.79930384545142	73.2927046482667	2.87809582107653e-11	1.43474033941196e-54
ENSG00000147050.14	11	0.710961582655147	0.0449615770819279	15.8126477939075	2.54540168895099e-56	81.4879693655753	5.40189253004161	59.5658543109509	4.37856084658203e-09	2.03550682262033e-53
ENSG00000188153.12	12	0.307480571022195	0.0196587941367657	15.6408663157598	3.83475421960105e-55	2.28230450937458	1.02335610247372	12.0267032423098	0.361639372658882	2.94863101377939e-52
ENSG00000126012.11	10	0.665824151814782	0.0452330832539143	14.7198489229046	4.80733100282668e-49	79.1445085267222	4.79490018866879	37.9938949154638	1.74753724094924e-05	3.55956153364856e-46
ENSG00000258484.3	12	-0.89390760141122	0.0632191911216832	-14.1398139639377	2.15854259549805e-45	40.6087620864914	1.6837500532592	19.0806908894135	0.0596603723064564	1.54119941318561e-42
ENSG00000282826.1	12	-0.468367021932872	0.0339413069456417	-13.7993219495931	2.57260952992862e-43	0	1	7.45186784276035	0.761399385058969	1.77350378352872e-40
ENSG00000182378.13	13	-0.709898144182379	0.0515570251766799	-13.7691835739095	3.90602314551872e-43	60.103745482503	2.50650095377108	29.3103706891059	0.00354251647171152	2.60297382417367e-40
ENSG00000215301.9	13	0.639635656135854	0.0482953902205728	13.2442382847418	4.87199744039027e-40	85.7231088354477	7.00432600118768	96.6144255049899	2.5566617359426e-15	3.14196686542846e-37
ENSG00000169249.12	13	0.569341569134274	0.0454965099820384	12.5139613864678	6.26216151624948e-36	46.1849294056572	1.85821553136664	21.9008461893476	0.0386462336841699	3.91228540727686e-33
ENSG00000178605.13	13	-0.622182539007727	0.050656379002896	-12.2824124277054	1.1259009798423e-34	71.7616184409472	3.54127943879777	40.7579248042853	5.37829905631043e-05	6.82091284515372e-32
ENSG00000130985.16	13	0.288158027359793	0.0235860692965064	12.2172975809274	2.51300185003665e-34	32.2241796585422	1.47545244743915	17.5814145945386	0.129003884950073	1.47764508782155e-31
ENSG00000130741.10	10	0.524666632627094	0.043290761357937	12.1195981814466	8.31658771803707e-34	65.7503735058882	2.91973986978199	26.9067133337974	0.00144933374093018	4.75043490454277e-31
ENSG00000247516.6	12	-0.372138533154985	0.0319177750088613	-11.659288062895	2.05755568968544e-31	0.0357459094666045	1.00035758691736	9.17402353347108	0.605832840904131	1.14262925967198e-28
ENSG00000072501.17	12	0.300291575057952	0.0266261161998212	11.2780839985957	1.68373163953972e-29	23.2356043556332	1.30268725703618	13.961126119785	0.235152000425467	9.09761160477786e-27
ENSG00000167393.17	12	-0.69307008080276	0.0645709366899075	-10.7334679707548	7.08849369244248e-27	80.9735012056908	5.25582773168492	53.8146764143558	1.27588757868431e-07	3.72929383945553e-24
ENSG00000124486.12	11	0.334058601900924	0.0320243805248429	10.4313837278375	1.78273007766115e-25	61.9199261724952	2.62604532892925	26.3972043219647	0.00324114201839565	9.13854864425685e-23
ENSG00000238151.1	6	-0.676465588517325	0.0648750911562132	-10.4272005859454	1.86296105677152e-25	0.0103653161601391	1.00010366390669	5.20697801697775	0.391146234946874	9.31107936174406e-23
ENSG00000101846.6	13	0.423992041725444	0.0417996273490547	10.1434407102443	3.54392644617181e-24	78.7735614626208	4.71110590803551	53.4521184427496	3.42238098645189e-07	1.72805311004553e-21
ENSG00000173674.10	11	0.378142748017993	0.037306684271043	10.1360588700589	3.82209913053842e-24	68.1937445724996	3.14403561990946	33.1447973901488	0.000257535532391721	1.81931918613629e-21
ENSG00000224975.1	10	0.321869905171058	0.0320458271899431	10.0440504550954	9.75829387046584e-24	12.9813690496494	1.14917919194863	11.0834009646887	0.270035535309508	4.53692583856635e-21
ENSG00000214717.11	13	-0.713229856541349	0.0712816206691093	-10.0058030365524	1.43720878113201e-23	88.6968944074671	8.84712605587461	120.848632617447	4.18563724091499e-20	6.5301540800889e-21
ENSG00000189223.14	11	-0.533586871229394	0.0553638269898962	-9.63782491638038	5.53482767257962e-22	0	1	3.11834325959748	0.978500154174433	2.45893944067137e-19
ENSG00000146938.14	12	0.27625208221414	0.029259475354386	9.44145713032171	3.67630881669486e-21	57.802325627465	2.36979884524363	25.2003079208571	0.00852052442814738	1.59775577963834e-18
ENSG00000169895.5	10	0.354984642862326	0.0376487142785029	9.4288649603373	4.14550467383976e-21	52.658844677279	2.11232698733919	18.7359868312053	0.027533704174054	1.76333892424265e-18
ENSG00000006757.11	12	0.542387283387046	0.0580144074379643	9.34918251068976	8.83277562609356e-21	78.4483750307209	4.64002135071232	53.2609815086063	1.60937619375717e-07	3.67885104826797e-18
ENSG00000186312.10	12	0.327474034337757	0.0360659975719066	9.07985516509991	1.08719426237251e-19	17.1533609384088	1.20704956933324	12.7105241692092	0.31266569479995	4.43575259047984e-17
ENSG00000189134.3	13	-0.350768336026273	0.0392413479574026	-8.93874329717318	3.93621039314029e-19	0	1	9.24071181358518	0.682244535385633	1.57385436359321e-16
ENSG00000259222.2	4	-0.574741153971846	0.0660097331938974	-8.70691527086769	3.12256335384205e-18	0	1	1.86872585255416	0.600094805825694	1.22404483470608e-15
ENSG00000186675.6	13	-0.179919714390943	0.0219938521145892	-8.18045485863736	2.82774410408105e-16	0.0777775228009994	1.00077838063318	11.7721322642907	0.464149285244254	1.08715884863055e-13
ENSG00000086712.12	13	0.254563444095581	0.0314274627360134	8.10003168992292	5.49448733860464e-16	64.5736277959112	2.82275586740599	33.4183282051395	0.000832642458779558	2.07256209195064e-13
ENSG00000248469.1	11	-0.255612342915703	0.0317143707658837	-8.05982703559341	7.64024760574624e-16	0	1	6.96069365160649	0.729150431702952	2.82858944692739e-13
ENSG00000185291.11	13	-0.301982228067177	0.0377102142295868	-8.00796904065973	1.16618251275728e-15	33.8398617470941	1.51148414499584	18.7338161287969	0.0951579354125027	4.23896741728064e-13
ENSG00000169239.12	13	0.304745884217757	0.0387885035055212	7.85660328902297	3.94690409874172e-15	46.0438110723669	1.85335550911725	21.8727775436138	0.0389706575953841	1.40904476325079e-12
ENSG00000100197.20	13	0.251258784502061	0.0323716702688073	7.76168737713139	8.38067828179236e-15	0	1	3.76670080467062	0.987287717203259	2.93941263525602e-12
ENSG00000270001.1	13	-0.276703069052011	0.0370337790493048	-7.47164011222359	7.9201374937017e-14	0	1	5.25714663684233	0.948833842954817	2.72998946162214e-11
ENSG00000198034.10	11	0.5939206072383	0.0812548515748433	7.30935563510621	2.6842646945595e-13	88.7942953815859	8.92402605684184	103.959271036652	8.76409196983108e-18	9.09556267349721e-11
ENSG00000205664.10	11	0.450806334855526	0.0625388050827705	7.20842578074334	5.66024082961039e-13	70.607327574207	3.40220850119933	32.2504131066082	0.000363714916789335	1.88599224442618e-10
ENSG00000204172.12	12	-0.235959744758054	0.0329418722113293	-7.16291239442376	7.89808268442423e-13	0	1	7.68630966872666	0.741097630536107	2.58849949224605e-10
ENSG00000129534.13	12	-0.221014470623368	0.030960996444362	-7.13848054020285	9.4368226776202e-13	15.2471253844672	1.17990098216294	13.636199974378	0.253781468206322	3.04291869308037e-10
ENSG00000233223.2	13	-0.230932847675995	0.032399679209499	-7.12762759725998	1.02113599265751e-12	16.7434575407363	1.20110680850011	14.7695057523615	0.254284233623682	3.2404048833665e-10
ENSG00000226179.6	13	-0.530088886327727	0.0765208612283335	-6.92737742124954	4.28713726046209e-12	80.1961144998463	5.049514147071	71.2784672238371	1.84517516109625e-10	1.33919450173685e-09
ENSG00000266050.2	13	-0.199322895936532	0.0293104812406446	-6.80039656463001	1.04331556652786e-11	19.1084390422265	1.2362228991007	17.0176809732655	0.14893342045493	3.20891766246538e-09
ENSG00000169093.15	13	-0.491372295616178	0.0739094511930577	-6.64830123461034	2.96495023149285e-11	91.6491313715345	11.9748021971189	127.877033372594	1.64530719355115e-21	8.98110379212198e-09
ENSG00000111321.10	13	-0.211591941132867	0.0319293656669846	-6.62687581518902	3.42865839973878e-11	31.8687744539519	1.46775577862478	17.0852070564012	0.146420120965543	1.02307072727728e-08
ENSG00000147804.9	12	0.199641342008117	0.0303382684436598	6.58051208093384	4.68830735041584e-11	0	1	9.21827216054172	0.601752609486549	1.37836236102226e-08
ENSG00000189120.4	2	0.83228237107538	0.126571710206559	6.57557972249196	4.84639677249532e-11	24.8835104965051	1.33126562038482	1.33126562038482	0.248580187379917	1.40419078660473e-08
ENSG00000137944.17	13	-0.197662983141291	0.0301863997405678	-6.54808075292429	5.82812048972021e-11	15.5967129586285	1.1847879804845	13.4955275419021	0.334074822106147	1.66451121186409e-08
ENSG00000095932.6	7	0.460127629641324	0.0716314978728824	6.42353773556249	1.33143119158309e-10	56.8039651481263	2.31502730153165	14.2147825975127	0.0273268117217298	3.74901019466608e-08
ENSG00000172460.15	4	0.56378979076576	0.0885530921424387	6.36668666362205	1.93155196482342e-10	19.0725374654184	1.23567447771229	3.43645087940377	0.329098239707179	5.3632759556597e-08
ENSG00000129250.11	13	-0.166166244569693	0.0261763955727594	-6.34794214153053	2.18214115000994e-10	2.16108287907271	1.02208817250503	15.1411801983992	0.233806371454715	5.97607751657517e-08
ENSG00000282995.1	3	-0.669022036398766	0.105596802468685	-6.33562779135447	2.36376800684332e-10	0	1	0.355405836121904	0.837191100903765	6.38600675578536e-08
ENSG00000115138.10	13	-0.287171259303799	0.0456172781055629	-6.29523003628705	3.06944323599906e-10	0	1	7.89521232102287	0.793264637179206	8.18190788987909e-08
ENSG00000186310.9	11	0.120736340671354	0.0191923592865176	6.29085454627612	3.15723065918494e-10	24.7872381986501	1.32956160105007	11.7585100459583	0.301543644513763	8.30517833400333e-08
ENSG00000273203.1	11	-0.235089524925236	0.0374986501409141	-6.26927966851623	3.62722145197223e-10	0	1	8.53160742029754	0.577055319769302	9.41758587893881e-08
ENSG00000146151.12	12	0.106878420246801	0.0175711662656885	6.08260252226422	1.18247236492457e-09	0	1	7.04045435285831	0.795798022386903	3.03076763071436e-07
