gene_ID	RE_sample_size	RE_beta	RE_SE	RE_Z	RE_metaP	RE_I2	RE_H2	RE_Q_val	RE_Q_pval	RE_metaP_FDR	Chromosome	Gene_Start	Gene_End	Chromosome_type
ENSG00000007255.10	12	0.0155813972494498	0.0263215818188691	0.591962799070074	0.553875499691721	0.0345155027066156	1.00034527420019	11.2650025765438	0.421336778153977	0.888269051488376	19	45162928	45178237	Autosomal
ENSG00000007384.15	10	-0.0535163673933162	0.0360782084648862	-1.48334326094385	0.137983233965184	15.1117232956968	1.17801896660403	10.1065946627733	0.341924933414674	0.565626576467492	16	58059	76355	Autosomal
ENSG00000008130.15	12	-0.0404078819974694	0.0384610448159453	-1.05061841639614	0.293433879291623	57.9074261194064	2.37571597031998	25.3884439366146	0.00799448771467435	0.746147010111923	1	1751232	1780457	Autosomal
ENSG00000010327.10	12	0.0643912093625263	0.0242819583969205	2.65181285257011	0.00800609040461728	7.94791878008573	1.08634154355617	12.4950615482085	0.327603350678987	0.137009554363617	3	52495338	52524495	Autosomal
ENSG00000013725.14	5	0.0180776790059559	0.0775448854975536	0.233125355591972	0.815664066355131	38.7872912443085	1.63364768579535	6.27375042519449	0.179615919335718	0.964887490272806	11	60971680	61020377	Autosomal
ENSG00000016602.9	11	0.0367431656618229	0.0245070346515127	1.49929055817265	0.133798270737274	0	1	7.38514443568376	0.688652982863079	0.560080739852044	1	86547078	86580754	Autosomal
ENSG00000019995.6	12	-0.0394455210970714	0.0253303892073105	-1.55724101885048	0.119413272954933	41.1177016173421	1.69830327189558	18.7970516316572	0.0648352051830848	0.533596368554989	10	124942123	124988189	Autosomal
ENSG00000025423.11	12	-0.0934326310071821	0.0305683154428321	-3.05651880562136	0.00223923433545889	0	1	9.26156742820842	0.597762353842758	0.0642277945975526	12	56752161	56787790	Autosomal
ENSG00000031823.14	13	0.00728867913943902	0.0261490696872396	0.278735696015824	0.78044766626793	27.7665332951352	1.38439984347678	17.5421816292384	0.130314996516522	0.957411752191439	19	5916139	5978142	Autosomal
ENSG00000035664.11	9	-0.00597395182394837	0.034330952295938	-0.174010664558676	0.861857080992132	12.2299522621581	1.13934084095166	9.81694079104046	0.278110147552847	0.975579821059541	15	63907036	64072033	Autosomal
ENSG00000037241.7	12	0.00898149022597555	0.0228257275115337	0.393481006090047	0.693964249945083	1.8175771184405	1.01851224552314	10.7449810277275	0.464868763612465	0.931998742771873	5	172958729	172969771	Autosomal
ENSG00000040199.18	12	-0.0421666471909237	0.0181339792302425	-2.32528374801496	0.0200567927325941	8.82846022012425	1.09683351012212	11.929998316064	0.368927986845568	0.230475592923237	16	71637835	71724701	Autosomal
ENSG00000040731.10	11	-0.0346610874290325	0.0226546190232544	-1.52997882654543	0.126021969984452	0	1	4.68034033591431	0.91148385708044	0.54817911747806	5	24487100	24644978	Autosomal
ENSG00000065491.8	13	0.00873583593438732	0.0210225248235407	0.415546467787021	0.67774190571474	0.148914283296145	1.00149136368651	13.5004593942988	0.333737579160631	0.927133698842589	6	37257772	37332970	Autosomal
ENSG00000069998.12	12	-0.00983742898518636	0.0266121766942133	-0.369658938395875	0.711636630283775	0	1	6.88095443389846	0.808640459599282	0.93611212030937	22	17137511	17165287	Autosomal
